"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"HEBREW-BIBLICAL","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"441
HEBR-BIB","","","","","","","","","","","","","","","","","","","",""
"Elementary Biblical Hebrew, II","104","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Biblical Hebrew, II","304","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intmed Biblical Hebrew, II","324","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","990","021","4","***","","","","","","","","","",".",".",".",".",".",".","."
"HEBR-BIB
441","","Dept. Total","12","3.780","41.7","25.0",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
