"AFRICAN CULTURAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro Afr Cultural Expression","100
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro African Lit","201
001","103","3.929","90.3","3.9","1.0",".",".",".","1.0","1.9","1.9",".",".",".",".",".",".","."
"Intro Topics African Languages","204
001","19","3.824","63.2","21.1","5.3",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","210
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","28","3.796","67.9","17.9","10.7",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","210
003","28","3.750","78.6","14.3","3.6",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"","210
004","26","3.813","76.9","3.8","7.7",".","3.8",".",".","7.7",".",".",".",".",".",".",".","."
"","210
005","31","3.967","90.3","6.5",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"The African Storyteller","Course Total","129","3.856","81.4","9.3","4.7",".","0.8",".","0.8","2.3",".",".",".",".","0.8",".",".","."
"Intro to Afr Pop Culture","212
001","7","3.417","28.6","14.3","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Global HipHop & Social Justice","233
001","68","3.343","22.1","27.9","14.7","5.9","2.9",".","1.5","23.5","1.5",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","19","3.375","26.3","21.1","26.3","10.5",".",".",".","5.3","10.5",".",".",".",".",".",".","."
"African Lit in Translation","300
001","16","3.694","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Lit and Visual Culture","303
001","24","3.750","58.3","20.8","12.5",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","322
001","14","3.864","57.1","21.4",".",".",".",".",".","14.3","7.1",".",".",".",".",".",".","."
"","322
002","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Arabic","Course Total","38","3.871","68.4","23.7",".",".",".",".",".","5.3","2.6",".",".",".",".",".",".","."
"Fourth Semester Arabic","324
001","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Sixth Semester Arabic","330
001","7","3.500","42.9","28.6",".",".","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"Second Semester Swahili","332
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Swahili","334
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yoruba","372
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem-Lang of West Africa","392
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory-African Literature","402
001","9","3.688","55.6","11.1","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"","405
001","7","3.875","42.9","14.3",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"","405
002","13","3.792","53.8","38.5",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"African Cultural Studies","Course Total","20","3.813","50.0","30.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Topics US/Global Black Music","409
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv. African Cultural Studies","605
001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Multilanguage Seminar","671
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CALx Working Group","804
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Mod Afr Lit","901
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intdept Smr-African Studies","983
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"Indep Reading & Research","999
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
