"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"Prof Experience in Business","750
001","3","***","","","","","","","","",".",".","",".","",".",".",".","."
"","765
020","32","4.000","100.0",".",".",".",".",".",".",".   
.",".",".","",".","",".",".",".","."
"","765
021","34","3.985","97.1","2.9",".",".",".",".",".",".   
.",".",".","",".","",".",".",".","."
"","765
022","66","3.770","57.6","33.3","3.0","1.5",".",".",".","3.0
.",".",".","",".","","1.5",".",".","."
"","765
030","24","3.896","83.3","12.5","4.2",".",".",".",".",".   
.",".",".","",".","",".",".",".","."
"","765
031","40","3.913","92.5",".","5.0","2.5",".",".",".",".   
.",".",".","",".","",".",".",".","."
"","765
034","41","3.537","36.6","34.1","29.3",".",".",".",".",".   
.",".",".","",".","",".",".",".","."
"","765
040","42","3.988","97.6","2.4",".",".",".",".",".",".   
.",".",".","",".","",".",".",".","."
"","765
041","51","4.000","100.0",".",".",".",".",".",".",".   
.",".",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","330","3.875","80.9","12.4","5.2","0.6",".",".",".","0.6
.",".","",".","",".","0.3",".",".","."
"Analytics Consulting Practicum","770
002","24","3.917","83.3","16.7",".",".",".",".",".",".   
.",".",".","",".","",".",".",".","."
"Panel Data Analysis","806
001","6","3.800","50.0","33.3",".",".",".",".",".",".   
16.7",".",".","",".","",".",".",".","."
"Current Topics: Bus Analytics","840
002","24","4.000","100.0",".",".",".",".",".",".",".   
.",".",".","",".","",".",".",".","."
"GEN BUS
231","Dept. Total","2557","3.559","35.8","20.3","12.3","2.6","1.0","0.5","0.0","26.5
0.6","0.2","",".","",".","0.1","0.0",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S/SD
U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","329","3.413","24.6","14.0","20.7","4.3","1.2",".","0.3","34.3
0.6",".","",".","",".",".",".",".","."
"Junior","","899","3.541","27.3","23.8","10.7","2.3","1.1","0.6",".","33.4
0.7","0.2","",".","",".",".",".",".","."
"Senior","","914","3.503","28.6","22.3","14.6","3.0","1.2","0.8",".","28.7
0.7","0.1","",".","",".","0.1","0.1",".","."
"Undergraduates","","2144","3.504","27.4","21.7","13.9","2.9","1.2","0.6","0.0","31.5
0.7","0.1","",".","",".","0.0","0.0",".","."
"Special","","9","3.167","33.3","33.3",".","22.2",".","11.1",".",".  
.",".","",".","",".",".",".",".","."
"Graduate","","402","3.884","80.3","12.9","4.2","0.5",".",".",".","0.5
0.5","0.7","",".","",".","0.2",".",".","."
"Prof Yr 3","","1","***","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","2","***","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","2557","3.559","35.8","20.3","12.3","2.6","1.0","0.5","0.0","26.5
0.6","0.2","",".","",".","0.1","0.0",".","."
