"AGRICULTURAL AND APPLIED E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"Intro to Ag & Applied Econ","215","001","","63","3.508","38.1","34.9","11.1","7.9","3.2",".",".","1.6","3.2",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","","35","3.956","91.4","2.9","2.9",".",".",".",".",".","2.9",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Commodity Markets","322","001","","46","3.284","23.9","15.2","26.1","13.0","2.2",".",".","15.2","4.3",".",".",".",".",".",".","."
"Intro to Data Analysis","335","001","","44","3.881","77.3","13.6","4.5",".",".",".",".","2.3","2.3",".",".",".",".",".",".","."
"Environmental Economics","343","001","","18","3.721","55.6","16.7","16.7",".",".",".",".","5.6",".",".",".",".","5.6",".",".","."
"World Hunger & Malnutrition","350","001","","92","3.678","55.4","28.3","9.8","2.2","2.2",".",".","1.1",".",".",".",".","1.1",".",".","."
"Growth&Develpmt Global Econ","374","001","","9","3.750","44.4","44.4",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","399","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Agricultural Finance","419","001","","40","3.235","27.5","27.5","15.0","7.5",".","5.0","2.5","10.0","5.0",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Experience","500","001","","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Applied Econometric Anal II","637","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fndtns Development Economics","642","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndtns Environ/Resource Econ","643","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Economics","671","001","","8","3.643","50.0","12.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".","."
"","699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Applied Risk Analysis","706","001","","25","3.667","32.0","64.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Seminar Quant & Applied Econ","720","001","","20","3.947","85.0","10.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Prof Comm of Applied Econ Anly","721","001","","23","3.548","34.8","30.4","26.1",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"Development Economics 1","730","001","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Econometric Analysis 3","737","001","","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agricultural Economics 2","747","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Econometrics Res/Energy Demand","772","001","","26","3.630","42.3","26.9","19.2",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"Sem Res/Energy Demand Analysis","773","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum Res/Energy Demand I","774","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Colloquium","780","001","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Game Theory&Political Analysis","835","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
