"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"LINGUISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","",""
"Human Language","101
001","253","3.644","49.0","23.7","8.3","3.2","1.2","1.2",".","12.3","1.2",".",".",".",".",".",".","."
"Language & Immigration in Wisc","237
001","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301
001","30","3.593","56.7","10.0","16.7","3.3",".","3.3",".","10.0",".",".",".",".",".",".",".","."
"Morphology","322
001","25","3.750","56.0","32.0","8.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","373
001","27","4.000","85.2",".",".",".",".",".",".","11.1","3.7",".",".",".",".",".",".","."
"","373
002","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Topics in Linguistics","Course Total","38","4.000","86.8",".",".",".",".",".",".","10.5","2.6",".",".",".",".",".",".","."
"Field Methods II","427
001","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Tutorial","482
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Phonological Theories","510
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syntactic Theories","530
001","9","4.000","77.8",".",".",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"Structure of a Language","571
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","699
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","979
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","999
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"LINGUIS
550","Dept. Total","416","3.731","59.6","18.0","7.2","2.2","0.7","1.0",".","9.9","1.0",".",".","0.2","0.2",".",".","."
