"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","",""
"150
Career Orientation An/Poul Sci","001","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","143","3.492","41.3","28.7","10.5","2.8","4.2","2.8",".","8.4
0.7",".",".",".","0.7",".",".","."
"299","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","029","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","",""
"305
Intro-Meat Sci & Technology","001","","26","3.091","26.9","23.1","11.5","7.7","7.7","3.8","3.8","11.5
3.8",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","47","3.050","17.0","19.1","21.3","19.1","4.3","4.3",".","14.9
.",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","6","3.167","66.7",".","16.7",".",".",".","16.7",".   
.",".",".",".",".",".",".","."
"335
Microbiome-Plants/Anmls/Humans","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","34","2.667","11.8","2.9","41.2","2.9","5.9","11.8","2.9","17.6
2.9",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","26","2.850","26.9","15.4","7.7","7.7",".","15.4","3.8","15.4
7.7",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","13","3.115","38.5","7.7","38.5",".","7.7",".","7.7",".   
.",".",".",".",".",".",".","."
"373
Animal Physiology","001","","32","3.333","37.5","9.4","34.4","3.1","9.4",".",".","6.3
.",".",".",".",".",".",".","."
"375","001","","20","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"375","002","","42","3.762","69.0","19.0","7.1","4.8",".",".",".",".   
.",".",".",".",".",".",".","."
"Special Topics","Course Total","","62","3.819","79.0","12.9","4.8","3.2",".",".",".",".  
.",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","042","","1","***","","","","","","","","",".",".",".",".",".",".","."
"432
Swine Production","001","","13","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"472
Animal Ag & Sustainable Devel","001","","8","3.875","87.5",".","12.5",".",".",".",".",".   
.",".",".",".",".",".",".","."
"520
Ornithology","001","","7","3.500","14.3","71.4","14.3",".",".",".",".",".   
.",".",".",".",".",".",".","."
"521
Birds of Southern Wisconsin","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","015","","8","4.000","62.5",".",".",".",".",".",".","37.5
.",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","4.000","76.9",".",".",".",".",".",".","23.1
.",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","022","","2","***","","","","","","","","",".",".",".",".",".",".","."
"799","035","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Animal Sci Tchng","Course Total","","5","***","","","","","","","","","","","","","","",""
"954
Endocrinlgy-Reprodctve Phys","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 33 of 447"
