"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","39","3.421","15.4","15.4","15.4",".","2.6",".",".","51.3",".",".",".",".",".",".",".","."
"","100
002","38","3.412","13.2","15.8","13.2",".","2.6",".",".","55.3",".",".",".",".",".",".",".","."
"","100
003","39","3.636","12.8","10.3","5.1",".",".",".",".","71.8",".",".",".",".",".",".",".","."
"","100
004","37","3.593","35.1","18.9","16.2","2.7",".",".",".","27.0",".",".",".",".",".",".",".","."
"","100
005","39","3.250","12.8","12.8","15.4",".","2.6","2.6",".","53.8",".",".",".",".",".",".",".","."
"","100
006","38","3.479","21.1","23.7","15.8",".","2.6",".",".","36.8",".",".",".",".",".",".",".","."
"","100
007","38","3.413","18.4","13.2","28.9",".",".",".",".","39.5",".",".",".",".",".",".",".","."
"","100
008","34","3.600","26.5","17.6","14.7",".",".",".",".","41.2",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","302","3.475","19.2","15.9","15.6","0.3","1.3","0.3",".","47.4",".",".",".",".",".",".",".","."
"","211
001","34","3.523","26.5","17.6","17.6","2.9",".",".",".","35.3",".",".",".",".",".",".",".","."
"","211
002","36","3.480","27.8","16.7","22.2",".","2.8",".",".","30.6",".",".",".",".",".",".",".","."
"","211
003","36","3.447","19.4","13.9","16.7",".","2.8",".",".","47.2",".",".",".",".",".",".",".","."
"","211
004","33","3.500","18.2","15.2","18.2",".",".",".",".","48.5",".",".",".",".",".",".",".","."
"","211
005","34","3.233","11.8","8.8","20.6",".",".","2.9",".","55.9",".",".",".",".",".",".",".","."
"","211
006","31","3.375","19.4","19.4","38.7",".",".",".",".","22.6",".",".",".",".",".",".",".","."
"","211
007","33","3.417","12.1","21.2","21.2",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"","211
008","34","3.382","14.7","20.6","11.8",".",".","2.9",".","47.1","2.9",".",".",".",".",".",".","."
"","211
009","34","3.500","14.7","17.6","8.8","2.9",".",".",".","55.9",".",".",".",".",".",".",".","."
"","211
010","32","3.429","21.9","12.5","31.3",".",".",".",".","34.4",".",".",".",".",".",".",".","."
"","211
011","31","3.275","19.4","12.9","25.8","3.2",".","3.2",".","35.5",".",".",".",".",".",".",".","."
"","211
012","33","3.357","15.2","18.2","27.3","3.0",".",".",".","33.3","3.0",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","401","3.412","18.5","16.2","21.4","1.0","0.5","0.7",".","41.1","0.5",".",".",".",".",".",".","."
"","300
001","172","3.465","29.7","34.3","9.9","7.6","1.2","0.6","0.6","14.5","1.2",".",".",".",".",".","0.6","."
"","300
002","40","3.361","27.5","22.5","27.5","12.5",".",".",".","10.0",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","212","3.444","29.2","32.1","13.2","8.5","0.9","0.5","0.5","13.7","0.9",".",".",".",".",".","0.5","."
"","301
001","38","3.466","26.3","26.3","18.4","2.6","2.6",".",".","23.7",".",".",".",".",".",".",".","."
"","301
002","38","3.580","26.3","23.7","15.8",".",".",".",".","34.2",".",".",".",".",".",".",".","."
"","301
003","39","3.542","28.2","12.8","17.9","2.6",".",".",".","38.5",".",".",".",".",".",".",".","."
"","301
004","34","3.500","29.4","23.5","5.9",".","2.9","2.9",".","32.4","2.9",".",".",".",".",".",".","."
"","301
005","34","3.714","20.6","17.6","2.9",".",".",".",".","52.9","5.9",".",".",".",".",".",".","."
"","301
006","36","3.500","22.2","16.7","22.2",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"","301
007","37","3.481","24.3","24.3","21.6","2.7",".",".",".","27.0",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","256","3.528","25.4","20.7","15.2","1.2","0.8","0.4",".","35.2","1.2",".",".",".",".",".",".","."
"","302
001","21","3.500","33.3","9.5","33.3",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"","302
002","21","3.658","42.9","33.3","14.3",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","302
003","15","3.318","6.7","33.3","33.3",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","57","3.522","29.8","24.6","26.3",".",".",".",".","19.3",".",".",".",".",".",".",".","."
"","310
001","17","3.321","23.5","41.2",".","11.8",".","5.9",".","11.8","5.9",".",".",".",".",".",".","."
"","310
002","18","3.529","27.8","44.4","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","310
003","20","3.667","35.0","30.0","10.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","55","3.511","29.1","38.2","10.9","3.6",".","1.8",".","14.5","1.8",".",".",".",".",".",".","."
"","329
001","39","3.397","28.2","23.1","7.7","10.3","5.1",".",".","25.6",".",".",".",".",".",".",".","."
"","329
002","38","3.310","15.8","36.8","5.3","15.8","2.6",".",".","23.7",".",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 51 of 447"
