"L&S","","","","","","","","","","","","","","","","","","","",""
"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"PHILOS
736","Dept. Total","1926","3.604","42.0","27.2","11.1","1.3","0.5","0.9","0.6","13.3
1.3",".","",".","",".","0.8","0.3","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S/SD
U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","154","3.395","33.8","28.6","14.9","2.6",".","2.6","2.6","13.0
1.9",".","",".","",".",".",".",".","."
"Sophomore","","519","3.618","41.4","29.3","12.3","1.3","0.8","0.8",".","11.8
1.5",".","",".","",".","0.6","0.2",".","."
"Junior","","510","3.596","39.6","30.4","12.7","1.4","0.4","0.6","0.6","12.4
1.6",".","",".","",".","0.4",".",".","."
"Senior","","643","3.638","48.5","25.7","9.5","1.2","0.3","1.1","0.8","11.0
0.9",".","",".","",".","0.6","0.2","0.2","."
"Undergraduates","","1826","3.600","42.8","28.3","11.7","1.4","0.4","1.0","0.7","11.8
1.4",".","",".","",".","0.5","0.1","0.1","."
"Special","","34","3.500","8.8","5.9",".",".","2.9",".",".","29.4
.",".","",".","",".","5.9","11.8","35.3","."
"Graduate","","66","3.918","37.9","7.6",".",".",".",".",".","48.5
.",".","",".","",".","6.1",".",".","."
"","Dept. Total","1926","3.604","42.0","27.2","11.1","1.3","0.5","0.9","0.6","13.3
1.3",".","",".","",".","0.8","0.3","0.7","."
