"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"405
Nuclear Reactor Theory","001","","20","3.289","35.0","10.0","30.0","15.0","5.0",".",".","5.0
.",".",".",".",".",".",".","."
"408
Ionizing Radiation","001","","24","3.370","45.8","16.7","20.8","4.2",".","8.3",".","4.2
.",".",".",".",".",".",".","."
"412
Nuclear Reactor Design","001","","11","3.313","27.3","27.3","9.1",".",".","9.1",".","27.3
.",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".   
.",".",".",".",".",".",".","."
"428
Nuclear Reactor Laboratory","001","","11","3.000","9.1","9.1","9.1","9.1","9.1",".",".","45.5
.",".",".",".","9.1",".",".","."
"506
Monte Carlo Radiatn Transport","001","","7","3.500","28.6",".","28.6",".",".",".",".","28.6
14.3",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"526
Lab Course in Plasmas","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","8","3.813","62.5","37.5",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"571
Econ&Envr Aspect-Nuc Energy","001","","18","3.100","16.7","33.3","16.7","5.6",".","11.1",".","16.7
.",".",".",".",".",".",".","."
"602
Special Topics-Reactor Engr","001","","6","3.500",".","83.3",".",".",".",".",".","16.7
.",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","030","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","037","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","13","3.935","92.3","7.7",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"708
Soc Risk Mgmt-Tech Hazards","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","029","","4","***","","","","","","","","",".",".",".",".",".",".","."
"790","031","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","051","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","8","",".",".",".",".",".",".",".","75.0
12.5",".",".","12.5",".",".",".","."
"890","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","010","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","013","","5","***","","","","","","","","",".",".",".",".",".",".","."
"890","014","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","016","","4","***","","","","","","","","",".",".",".",".",".",".","."
"890","018","","9","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"890","022","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","023","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","029","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","038","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","039","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","33","",".",".",".",".",".",".",".","87.9
3.0",".",".","9.1",".",".",".","."
"922
Seminar in Plasma Physics","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 151 of 447",""
