"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"563","004","","11","3.455","45.5","27.3","9.1","9.1","9.1",".",".",".   
.",".",".",".",".",".",".","."
"563","006","","8","3.643","50.0","12.5","25.0",".",".",".",".","12.5
.",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","","32","3.600","50.0","21.9","15.6","3.1","3.1",".",".","6.3
.",".",".",".",".",".",".","."
"564","001","","10","3.611","40.0","30.0","20.0",".",".",".",".","10.0
.",".",".",".",".",".",".","."
"564","003","","13","3.542","38.5","30.8","15.4","7.7",".",".",".","7.7
.",".",".",".",".",".",".","."
"564","004","","13","3.455","23.1","30.8","30.8",".",".",".",".","15.4
.",".",".",".",".",".",".","."
"564","006","","13","3.615","38.5","46.2","15.4",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","","49","3.556","34.7","34.7","20.4","2.0",".",".",".","8.2
.",".",".",".",".",".",".","."
"565
Biophysical Chemistry","001","","81","3.151","29.6","12.3","16.0","6.2","6.2","7.4",".","19.8
2.5",".",".",".",".",".",".","."
"575
Advanced Topics in Chemistry","001","","7","3.417","28.6","28.6","14.3","14.3",".",".",".","14.3
.",".",".",".",".",".",".","."
"605
Spectrochemical Measuremts","001","","21","3.833","81.0","4.8","14.3",".",".",".",".",".   
.",".",".",".",".",".",".","."
"606
Phys Meth-Struct Determintn","001","","10","3.500","30.0","40.0","30.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"607
Laboratory Safety","001","","76","",".",".",".",".",".",".",".",".   
.","98.7","1.3",".",".",".",".","."
"623
Experimental Spectroscopy","001","","11","3.591","27.3","63.6","9.1",".",".",".",".",".   
.",".",".",".",".",".",".","."
"628
Chem Instrumtn:Dsgn&Control","001","","11","3.600","45.5","18.2","27.3",".",".",".",".",".   
.",".",".",".","9.1",".",".","."
"635
Topics in Computational Chem","001","","13","",".",".",".",".",".",".",".",".   
.","92.3",".",".",".",".",".","."
"636
Topics-Chem Instrumentatn: NMR","001","","17","3.294","29.4","17.6","41.2","5.9","5.9",".",".",".   
.",".",".",".",".",".",".","."
"650
Biological Optical Microscopy","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"654
Materials Chem of Polymers","001","","23","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","9","3.667","66.7",".","33.3",".",".",".",".",".   
.",".",".",".",".",".",".","."
"681
Senior Honors Thesis","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","024","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","048","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","081","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","123","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","141","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","",".",".",".",".",".",".","."
