"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","25","3.717","52.0","28.0","12.0",".",".",".",".","4.0
4.0",".",".",".",".",".",".","."
"306","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"306","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","","4","***","","","","","","","","","","","","","","",""
"420","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"420","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","","2","***","","","","","","","","","","","","","","",""
"463
Evolution-American Planning","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"520
Community Economic Analysis","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"590","003","","12","3.759","58.3","41.7",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"590","006","","8","3.786","62.5","12.5","12.5",".",".",".",".",".   
.",".",".",".",".",".","12.5","."
"590","008","","10","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","Course Total","","30","3.856","73.3","20.0","3.3",".",".",".",".",".  
.",".",".",".",".",".","3.3","."
"601
Site Planning","001","","14","3.893","78.6","21.4",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"617
Community Development","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"671
Energy Economics","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","",""
"734
Regional Econ Prob Analysis","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"781
Planning Thought & Practice","002","","21","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"833
Planning & the Legal System","001","","11","3.727","45.5","54.5",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"843
Land Use Policy & Planning","001","","10","4.000","80.0",".",".",".",".",".",".","20.0
.",".",".",".",".",".",".","."
"844
Housing and Public Policy","001","","20","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","018","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","10","",".",".",".",".",".",".",".","90.0
.",".",".",".","10.0",".",".","."
"999","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","035","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
