"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"43","003","","75","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"University Band","Course Total","","271","4.000","99.6",".",".",".",".",".",".","0.4
.",".",".",".",".",".",".","."
"461
Collegium Musicum","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"468
Language Diction-Singing II","001","","16","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"497","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"497","010","","5","***","","","","","","","","",".",".",".",".",".",".","."
"497","024","","2","***","","","","","","","","",".",".",".",".",".",".","."
"497","026","","5","***","","","","","","","","",".",".",".",".",".",".","."
"497","030","","12","3.917","91.7",".","8.3",".",".",".",".",".   
.",".",".",".",".",".",".","."
"497","032","","4","***","","","","","","","","",".",".",".",".",".",".","."
"497","070","","18","3.861","83.3","5.6","11.1",".",".",".",".",".   
.",".",".",".",".",".",".","."
"497","096","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"497","126","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"497","192","","38","3.758","65.8","10.5",".","2.6",".",".","2.6","15.8
2.6",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","98","3.858","82.7","5.1","3.1","1.0",".",".","1.0","6.1
1.0",".",".",".",".",".",".","."
"499","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"499","050","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","",""
"50
Concert Choir","001","","30","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"52
Women's Chorus","001","","31","3.967","90.3","6.5",".",".",".",".",".","3.2
.",".",".",".",".",".",".","."
"53
Choral Union","001","","14","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"542
Choral Lit &Perf Prac-Today","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"544
Advanced String Pedagogy","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"546
String Literature","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"55
Masters' Singers","001","","24","3.935","87.5","4.2","4.2",".",".",".",".","4.2
.",".",".",".",".",".",".","."
"554
Advanced Conducting","040","","3","***","","","","","","","","",".",".",".",".",".",".","."
"556
University Opera","001","","10","3.941","90.0","10.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"557
Opera Workshop","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"558
Madrigal Singers","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"559
Graduate Choral Union","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"56
Chorale","001","","35","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"560
Prac Adv Studio Teach-Piano","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"562","050","","1","***","","","","","","","","",".",".",".",".",".",".","."
"562","098","","2","***","","","","","","","","",".",".",".",".",".",".","."
"562","196","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","4","***","","","","","","","","","","","","","","",""
"565","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"565","050","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Woodwind","Course Total","","2","***","","","","","","","","","","","","","","",""
"567","020","","2","***","","","","","","","","",".",".",".",".",".",".","."
