"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro to American Law","601
001","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Legal Sources","602
001","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","715
001","79","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","715
002","79","0.000",".",".",".",".",".",".",".","96.2",".",".",".",".",".",".",".","."
"","715
003","85","",".",".",".",".",".",".",".","98.8","1.2",".",".",".",".",".",".","."
"Torts I","Course Total","243","0.000",".",".",".",".",".",".",".","98.4","0.4",".",".",".",".",".",".","."
"","723
001","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","723
002","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","723
003","20","0.000",".",".",".",".",".",".",".","95.0",".",".",".",".",".",".",".","."
"","723
004","18","0.000",".",".",".",".",".",".",".","94.4",".",".",".",".",".",".",".","."
"","723
005","20","0.000",".",".",".",".",".",".",".","95.0",".",".",".",".",".",".",".","."
"","723
006","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","723
007","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","723
008","20","0.000",".",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","."
"","723
009","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","723
010","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","723
011","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","223","0.000",".",".",".",".",".",".",".","97.8",".",".",".",".",".",".",".","."
"","724
001","72","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","724
002","80","0.000",".",".",".",".",".",".",".","97.5",".",".",".",".",".",".",".","."
"","724
003","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Property","Course Total","229","0.000",".",".",".",".",".",".",".","99.1",".",".",".",".",".",".",".","."
"","725
001","82","0.000",".",".",".",".",".",".",".","98.8",".",".",".",".",".",".",".","."
"","725
002","68","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","Course Total","150","0.000",".",".",".",".",".",".",".","99.3",".",".",".",".",".",".",".","."
"","731
001","40","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","731
002","54","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","94","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Constitutional Law II","740
001","69","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Taxation I","742
001","50","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Negotiations","743
001","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Administrative Law","744
001","62","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","771
001","75","1.175","12.0",".","8.0",".","13.3",".",".","16.0",".",".",".",".",".",".",".","."
"","771
002","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","771
003","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","Course Total","96","1.175","9.4",".","6.3",".","10.4",".",".","34.4",".",".",".",".",".",".",".","."
"Use of Trusts-Estate Planning","772
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Evidence","801
001","84","1.000",".",".",".",".","1.2",".",".","97.6",".",".",".",".",".",".",".","."
"","802
001","38","1.000",".",".",".",".",".","5.3",".","94.7",".",".",".",".",".",".",".","."
"","802
002","63","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
