"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Digital Media and Literacy","209","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Aspects Teach, Schl, Educ","240","001","58","4.000","98.3",".",".",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"Contemp issues in K-12 Schools","276","001","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Videogames & Learning","277","001","183","3.857","77.6","9.8","3.8","0.5","1.1","0.5",".","5.5",".",".",".",".","1.1",".",".","."
"Intro to Music Education","300","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fieldwork in Music Communities","303","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","305","001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305","002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","","Course Total","37","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language Acquisition and Use","311","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Becoming Lit. in/out Schools","314","001","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"PCK for Teaching Elem Math 1","319","001","26","3.865","84.6","3.8","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"PCK for Teaching Elem Math 2","320","001","20","3.684","55.0","20.0","20.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Lang Use & Acq in Early Chldhd","326","001","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Language of Schooling","338","001","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Design I","357","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","362","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama for Teaching & Learning","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internationalizing Ed Knowldg","366","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","367","001","21","",".",".",".",".",".",".",".",".",".","85.7",".",".",".",".",".","."
"","367","002","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367","003","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","","Course Total","52","",".",".",".",".",".",".",".",".",".","94.2",".",".",".",".",".","."
"The Teaching of Reading","368","001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","001","20","3.947","85.0","10.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","370","002","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","","Course Total","30","3.931","83.3","13.3",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Teaching Social Studies","371","002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372","002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","","Course Total","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gen Ed Pract-Diverse Learners","374","001","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Teach Secondry Schl Math II","394","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education for Sustainable Cmty","405","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Game Design II","432","001","20","3.789","70.0","20.0",".",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Stdt Teaching World Lang (K-8)","442","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","443","001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
