"EDUCATIONAL PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"725
Theory & Issues-Human Dev","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"726
Ethnic/Racial Social Dev","001","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"736
Psych of Individual Difference","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"740
Cog Assess-Children in Schools","001","","19","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"743
Design of Single-Case Research","001","","24","4.000","95.8",".",".",".",".",".",".",".   
.",".",".",".","4.2",".",".","."
"761","001","","31","3.968","96.8",".","3.2",".",".",".",".",".   
.",".",".",".",".",".",".","."
"761","002","","44","3.966","95.5","2.3","2.3",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","","75","3.967","96.0","1.3","2.7",".",".",".",".",".  
.",".",".",".",".",".",".","."
"763
Regression Models in Education","001","","8","3.500","87.5",".",".",".",".",".","12.5",".   
.",".",".",".",".",".",".","."
"770
Human-Computer Interaction","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"773
Scaling, Factr&Cluster Anal","001","","21","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"788
Qual Rsch Mthds-Educ: Field I","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"796
Intro to Learning Sciences II","001","","10","4.000","90.0",".",".",".",".",".",".","10.0
.",".",".",".",".",".",".","."
"822
Intro Quant Inquiry in Educ","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"840","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"840","002","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"840","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"840","006","","19","3.974","94.7","5.3",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"840","009","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","","36","3.994","97.2","2.8",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"871
Test Theory II","001","","12","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"881
Capstone Smr in Prevention Sci","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"921
Smr-Adolescent Development","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"942
Sysms-Consltn in Schl Psych","001","","6","4.000","83.3",".",".",".",".",".",".",".   
.",".",".",".","16.7",".",".","."
"943
Internshp-School Psychology","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"946
Adv Assess&Interven Techniques","001","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"947
Evidence-based Chld Psychother","001","","19","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"960
Structural Equation Modeling","001","","27","3.920","77.8","14.8",".",".",".",".",".",".   
.",".",".",".","3.7",".","3.7","."
"964
Hierarchical Linear Modeling","001","","22","4.000","90.9",".",".",".",".",".",".",".   
.",".",".",".","9.1",".",".","."
"990","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","014","","8","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","",".",".",".",".",".",".","."
