"ONCOLOGY","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S/SD U/UD","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","",""
"Research","Course Total","41","",".",".",".",".","",".","",".","",".","80.5
.",".","",".","19.5","",".",".",".","."
"ONCOLOGY
700","Dept. Total","139","3.878","38.1","5.8","2.2",".","",".","",".","",".","47.5
0.7",".","",".","5.8","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S/SD
U/UD","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","12","4.000","100.0",".",".",".","",".","",".","",".",".  
.",".","",".",".","",".",".",".","."
"Senior","","10","3.895","90.0",".","10.0",".","",".","",".","",".",".  
.",".","",".",".","",".",".",".","."
"Undergraduates","","23","3.959","95.7",".","4.3",".","",".","",".","",".",".  
.",".","",".",".","",".",".",".","."
"Special","","4","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","108","3.818","28.7","7.4","1.9",".","",".","",".","",".","53.7
0.9",".","",".","7.4","",".",".",".","."
"Prof Yr 1","","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","4","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"","Dept. Total","139","3.878","38.1","5.8","2.2",".","",".","",".","",".","47.5
0.7",".","",".","5.8","",".",".",".","."
