"TERM : 1204","","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2019-2020","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCIENCE","Section","#","","Ave","A","AB","B","BC","","C","","D","","F","","S/SD U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"681
NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEURODPT
681","Dept. Total","","86","3.870","62.8","2.3","5.8","",".","",".","",".","",".","26.7
.",".","",".","",".","2.3",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S/SD
U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"681
NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","6","4.000","83.3",".",".","",".","",".","",".","",".",".  
.",".","",".","",".","16.7",".",".","."
"Junior","","","19","4.000","100.0",".",".","",".","",".","",".","",".",".  
.",".","",".","",".",".",".",".","."
"Senior","","","29","3.880","86.2",".","10.3","",".","",".","",".","",".",".  
.",".","",".","",".","3.4",".",".","."
"Undergraduates","","","54","3.930","90.7",".","5.6","",".","",".","",".","",".",".  
.",".","",".","",".","3.7",".",".","."
"Graduate","","","22","3.647","22.7","9.1","9.1","",".","",".","",".","",".","59.1
.",".","",".","",".",".",".",".","."
"Prof Yr 3","","","5","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","","5","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","","10","",".",".",".","",".","",".","",".","",".","100.0
.",".","",".","",".",".",".",".","."
"","Dept. Total","","86","3.870","62.8","2.3","5.8","",".","",".","",".","",".","26.7
.",".","",".","",".","2.3",".",".","."
