"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
010","31","3.850","71.0","22.6","3.2",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","1
011","34","3.948","79.4","2.9","2.9",".",".",".",".","14.7",".",".",".",".",".",".",".","."
"","1
012","26","3.769","84.6","7.7",".",".","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","109","3.883","81.7","9.2","1.8",".","0.9","0.9",".","5.5",".",".",".",".",".",".",".","."
"","11
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","11
002","13","3.917","84.6",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"Contemporary Dance I","Course Total","30","3.966","93.3",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","3.3"
"","112
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","112
003","18","3.778","83.3",".","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory II","Course Total","46","3.946","93.5",".","4.3",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"","115
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hip-Hop Dance Tech&Theory1","Course Total","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
001","37","3.917","91.9",".","2.7",".","2.7",".",".",".",".",".",".",".",".",".",".","2.7"
"","118
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance","Course Total","52","3.941","94.2",".","1.9",".","1.9",".",".",".",".",".",".",".",".",".",".","1.9"
"Asian American Movement","121
001","27","3.932","70.4","11.1",".",".",".",".",".","14.8","3.7",".",".",".",".",".",".","."
"","126
001","20","3.750","85.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","126
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet Technique I-B","Course Total","21","3.750","81.0","9.5",".",".",".",".","4.8",".","4.8",".",".",".",".",".",".","."
"Somatic Theory and Practices","131
001","21","3.810","76.2","19.0",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Wkshp Body Studies & Practices","132
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
001","26","3.760","57.7","30.8","7.7",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","135
002","32","3.827","56.3","21.9","3.1",".",".",".",".","9.4","6.3",".",".",".",".",".",".","3.1"
"","135
003","44","3.965","90.9","6.8",".",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"","135
004","39","3.921","87.2","5.1","5.1",".",".",".",".",".","2.6",".",".",".",".",".",".","."
"","135
005","33","3.953","87.9","9.1",".",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","174","3.899","78.2","13.2","2.9",".",".",".",".","3.4","1.7",".",".",".",".",".",".","0.6"
"Dance Production","140
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","156
001","31","3.900","90.3",".","3.2",".","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","157
001","30","3.815","80.0","6.7",".",".",".",".","3.3","3.3",".",".",".",".","3.3",".",".","3.3"
"Dancing Gender","168
001","128","3.894","82.0","8.6","4.7","0.8",".",".",".","3.1","0.8",".",".",".",".",".",".","."
"","2
001","46","3.854","78.3","2.2","4.3","2.2","2.2",".",".","8.7",".",".",".",".",".",".",".","2.2"
"","2
002","41","3.703","65.9","14.6","4.9",".","2.4",".","2.4","7.3","2.4",".",".",".",".",".",".","."
"Ballroom Dance I","Course Total","87","3.782","72.4","8.0","4.6","1.1","2.3",".","1.1","8.0","1.1",".",".",".",".",".",".","1.1"
"Ballet I","21
001","28","3.852","85.7","7.1",".",".",".","3.6",".",".",".",".",".",".",".",".",".","3.6"
"","212
001","12","3.542","75.0","8.3",".",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","212
002","7","3.944","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
