"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"440
Musical Performnc for Actor","001","","10","3.700","90.0",".",".",".",".","10.0",".",".   
.",".",".",".",".",".",".","."
"450
Acting Styles","001","","10","3.950","90.0","10.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"526
Theatres-China & Japan","001","","11","3.850","63.6","27.3",".",".",".",".",".","9.1
.",".",".",".",".",".",".","."
"561
Backstage Laboratory III","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"578
Modern Amer Drama & Theatre","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"579
Adv Concepts Stage Management","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","004","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","3.775","83.3",".",".","8.3",".",".",".","8.3
.",".",".",".",".",".",".","."
