"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","12","3.455","16.7","50.0","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","100
002","12","3.550","33.3","25.0","25.0",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","100
003","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","12","3.727","41.7","50.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","100
005","12","3.292",".","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","11","3.318","18.2","45.5","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","11","3.500","36.4","18.2","36.4",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","100
008","13","3.708","53.8","30.8",".","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"","100
009","13","3.417","23.1","38.5","23.1","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"","100
010","12","3.708","58.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","13","3.250","7.7","61.5","15.4",".",".","7.7",".","7.7",".",".",".",".",".",".",".","."
"","100
012","9","3.375","22.2","22.2","44.4",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","100
013","9","3.688","44.4","33.3","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","100
014","13","3.417","15.4","61.5","7.7",".","7.7",".",".",".","7.7",".",".",".",".",".",".","."
"","100
015","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
016","13","3.792","53.8","38.5",".",".",".",".",".",".","7.7",".",".",".",".",".",".","."
"","100
017","12","3.727","50.0","33.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","100
018","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
019","12","3.600","41.7","16.7","25.0",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","100
020","12","3.542","58.3","25.0","8.3",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","100
021","9","3.688","55.6","22.2",".","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"","100
022","12","3.636","58.3","16.7","8.3",".","8.3",".",".",".","8.3",".",".",".",".",".",".","."
"","100
024","13","3.500","30.8","38.5","15.4","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"","100
025","13","3.462","30.8","46.2","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
026","13","3.792","61.5","23.1","7.7",".",".",".",".",".","7.7",".",".",".",".",".",".","."
"","100
027","13","3.636","30.8","46.2","7.7",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"","100
028","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
029","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
030","13","3.667","46.2","30.8","15.4",".",".",".",".",".","7.7",".",".",".",".",".",".","."
"","100
031","13","3.583","38.5","38.5","7.7","7.7",".",".",".",".","7.7",".",".",".",".",".",".","."
"","100
032","13","3.708","46.2","38.5","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","100
033","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
034","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
035","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
036","13","3.692","53.8","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
038","13","3.458","30.8","53.8",".",".",".","7.7",".","7.7",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","438","3.604","41.1","38.1","11.4","2.3","0.7","0.7",".","4.1","1.4",".",".",".","0.2",".",".","."
"Intro-Digital Media Production","155
001","143","3.898","82.5","14.7","1.4",".","0.7",".",".","0.7",".",".",".",".",".",".",".","."
"Directed Study","198
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Digital Communication","200
001","118","3.652","47.5","33.9","9.3","3.4","0.8",".",".","5.1",".",".",".",".",".",".",".","."
"Survey of Contemporary Media","250
001","215","3.623","38.6","41.4","10.2","1.4","0.9",".",".","5.6","1.4",".",".",".","0.5",".",".","."
"Communication & Human Behav","260
001","220","3.690","61.8","17.3","7.7","2.7","0.9","0.9","0.9","5.0","2.3",".",".",".","0.5",".",".","."
