"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"699","081","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","106","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.731","50.0","16.7",".",".","16.7",".",".",".  
.",".",".",".","16.7",".",".","."
"706
Topics-Transnational History","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"707
Erly Mod Eurp His,1500-1789","001","","8","3.700","25.0","37.5",".",".",".",".",".",".   
.",".",".",".","37.5",".",".","."
"710
Professional Development Sem","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"725
Seminar in East Asian History","002","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"730
Prosem-Latin Amer History","001","","12","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"755
Prosem-S E Asian History","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"850
Smr-Hist Su&Mod His Ec Eur","001","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"861
Seminar-History of Africa","001","","14","3.959","92.9","7.1",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"891","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"891","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Prosem-Mod European History","Course Total","","6","3.900","66.7","16.7",".",".",".",".",".","16.7
.",".",".",".",".",".",".","."
"901","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"901","002","","12","4.000","91.7",".",".",".",".",".",".","8.3
.",".",".",".",".",".",".","."
"901","003","","2","***","","","","","","","","",".",".",".",".",".",".","."
"901","004","","8","3.917","62.5","12.5",".",".",".",".",".",".   
.",".",".",".","25.0",".",".","."
"Studies in American History","Course Total","","27","3.955","81.5","7.4",".",".",".",".",".","3.7
.",".",".",".","7.4",".",".","."
"906
Prosem-History of Education","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"907
Smr-History of Education","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"943
Race & Nationalism","001","","9","3.938","77.8","11.1",".",".",".",".",".",".   
.",".",".",".",".",".","11.1","."
"990","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","028","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","053","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","054","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","056","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","058","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","",".",".",".",".",".",".","."
