"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S/SD","U/UD","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","14","3.615","42.9","28.6","21.4",".",".","",".",".","7.1",".",".","",".",".","",".",".",".","."
"Junior","","34","3.717","58.8","20.6","11.8",".","2.9","",".",".","5.9",".",".","",".",".","",".",".",".","."
"Senior","","103","3.722","67.0","12.6","9.7","2.9","1.0","",".","1.0","5.8",".",".","",".",".","",".",".",".","."
"Undergraduates","","153","3.711","62.7","16.3","11.1","2.0","1.3","",".","0.7","5.9",".",".","",".",".","",".",".",".","."
"Special","","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","56","3.949","39.3","3.6",".",".",".","",".",".","30.4",".",".","",".","26.8","",".",".",".","."
"","Dept. Total","211","3.732","55.9","12.8","8.1","1.4","0.9","",".","0.5","13.3",".",".","",".","7.1","",".",".",".","."
