"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","22","3.659","86.4","4.5",".",".",".","4.5","4.5",".",".",".",".",".",".",".",".","."
"","100
002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","21","3.714","47.6","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","24","3.957","87.5","8.3",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","100
009","22","3.762","81.8",".","9.1",".",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"","100
010","23","3.909","87.0","4.3",".","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"","100
011","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","21","3.950","90.5",".","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","100
013","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
014","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
015","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
016","20","3.694","60.0","15.0","10.0",".","5.0",".",".","5.0","5.0",".",".",".",".",".",".","."
"","100
017","21","3.500","61.9","19.0","4.8",".",".","4.8","4.8","4.8",".",".",".",".",".",".",".","."
"","100
018","20","3.912","70.0","15.0",".",".",".",".",".","10.0","5.0",".",".",".",".",".",".","."
"Introduction to Art","Course Total","386","3.884","85.8","7.8","2.1","0.3","0.3","0.8","0.5","2.1","0.5",".",".",".",".",".",".","."
"","102
001","19","3.944","84.2","10.5",".",".",".",".",".",".","5.3",".",".",".",".",".",".","."
"","102
002","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","19","3.700","47.4","21.1","5.3","5.3",".",".",".","15.8","5.3",".",".",".",".",".",".","."
"","102
004","17","3.800","58.8","23.5","5.9",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","74","3.858","70.3","16.2","2.7","1.4",".",".",".","6.8","2.7",".",".",".",".",".",".","."
"","104
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","16","3.833","75.0","6.3","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","104
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","17","3.969","88.2","5.9",".",".",".",".",".",".","5.9",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","64","3.952","90.6","3.1","3.1",".",".",".",".","1.6","1.6",".",".",".",".",".",".","."
"Introduction to Digital Forms","107
001","169","3.924","91.1","3.0","2.4",".","0.6",".","0.6","1.8","0.6",".",".",".",".",".",".","."
"","112
001","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
002","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
003","20","3.800","95.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","112
004","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
005","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","94","3.915","91.5","6.4","1.1",".",".",".","1.1",".",".",".",".",".",".",".",".","."
"","176
001","12","3.955","83.3","8.3",".",".",".",".",".",".","8.3",".",".",".",".",".",".","."
"","176
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
003","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","176
004","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Photo for Non-Majors","Course Total","50","3.979","92.0","4.0",".",".",".",".",".","2.0","2.0",".",".",".",".",".",".","."
"Current Directions in Art","208
001","107","3.852","85.0","6.5","4.7",".",".","0.9","0.9","1.9",".",".",".",".",".",".",".","."
