"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","110","3.178","24.5","6.4","22.7","2.7","6.4","2.7","0.9","23.6","9.1",".",".",".",".",".","0.9","."
"","101
002","139","3.005","17.3","13.7","20.9","4.3","4.3","6.5","1.4","24.5","7.2",".",".",".",".",".",".","."
"Animal Biology","Course Total","249","3.080","20.5","10.4","21.7","3.6","5.2","4.8","1.2","24.1","8.0",".",".",".",".",".","0.4","."
"","102
001","9","3.313","22.2","11.1","55.6",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","102
002","10","3.500","40.0",".",".","20.0",".",".",".","30.0","10.0",".",".",".",".",".",".","."
"","102
003","8","3.500","25.0","37.5",".","12.5",".",".",".","12.5","12.5",".",".",".",".",".",".","."
"","102
004","8","3.583","25.0","37.5","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","102
005","9","3.813","66.7","11.1","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","102
006","8","3.714","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","102
007","10","3.250","50.0","10.0","20.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","102
008","11","3.750","27.3","27.3",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"","102
009","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","12","3.292","16.7","41.7","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
011","11","3.591","54.5","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","9","3.250","22.2","11.1","11.1","22.2",".",".",".","33.3",".",".",".",".",".",".",".","."
"","102
013","8","3.750","37.5","37.5",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","102
014","9","3.688","55.6","11.1","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","102
015","12","3.611","41.7","8.3","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","102
016","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","14","3.583","35.7","28.6","21.4",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","102
018","9","3.625","44.4","33.3",".","11.1",".",".",".",".","11.1",".",".",".",".",".",".","."
"","102
019","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
020","10","3.444","40.0","30.0",".","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","193","3.540","39.4","23.3","15.0","5.2","1.6","0.5",".","13.5","1.6",".",".",".",".",".",".","."
"Introductory Biology","151
001","80","3.150","17.5","8.8","37.5","3.8","6.3","1.3",".","17.5","6.3",".",".",".",".",".","1.3","."
"","152
001","95","3.482","44.2","11.6","26.3","3.2","3.2","1.1",".","9.5","1.1",".",".",".",".",".",".","."
"","152
002","88","3.675","56.8","18.2","18.2",".",".","1.1",".","5.7",".",".",".",".",".",".",".","."
"","152
003","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
004","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
005","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
007","9","3.750","55.6","22.2","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","152
008","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
010","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
011","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","247","3.617","53.8","14.6","21.9","1.2","1.2","0.8",".","6.1","0.4",".",".",".",".",".",".","."
"Introductory Biology","153
001","40","3.360","35.0","5.0","12.5",".","5.0","5.0",".","37.5",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","47","3.515","34.0","17.0","12.8","6.4","2.1",".",".","27.7",".",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 346 of 447",""
