"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","132","3.847","76.5","14.4",".","0.8","0.8","1.5",".","3.0","2.3",".",".",".",".",".","0.8","."
"Environmental Geology","106","001","43","3.129","23.3","23.3","9.3","4.7","2.3","7.0","2.3","20.9","7.0",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","180","3.971","92.8","3.3","1.1",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","92","3.299","22.8","12.0","38.0","4.3",".",".","1.1","21.7",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","52","3.725","67.3","15.4","11.5",".","3.8",".",".","1.9",".",".",".",".",".",".",".","."
"Global Environmental Issues","139","001","117","3.822","76.1","14.5","4.3","1.7","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"Literature and the Environment","153","001","76","3.857","71.1","17.1","2.6","1.3",".",".",".","7.9",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","21","3.763","52.4","33.3","4.8",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"Glbl Envir Hlth:Interdis Intro","213","001","44","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","24","3.139","37.5","8.3","4.2","12.5","4.2","4.2","4.2","4.2","12.5",".",".",".","8.3",".",".","."
"Environment&Global Economy","244","001","33","3.939","93.9",".","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","32","3.190","18.8","9.4","21.9","9.4","6.3",".",".","34.4",".",".",".",".",".",".",".","."
"Rhet,Science&Public Engagement","305","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"People, Land and Food","309","001","48","3.811","75.0","8.3","6.3","2.1","2.1",".",".","6.3",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","310","001","19","3.529","10.5","73.7","5.3",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","62","3.500","33.9","25.8","22.6","3.2","1.6",".",".","8.1",".",".",".",".","3.2","1.6",".","."
"Environmental Economics","343","001","11","3.045","45.5","27.3","9.1",".",".",".","18.2",".",".",".",".",".",".",".",".","."
"Native North Amer Nat Res Mgmt","345","001","22","3.650","45.5","36.4","4.5",".","4.5",".",".",".","4.5",".",".",".","4.5",".",".","."
"Wetlands Ecology","361","001","28","3.391","28.6","25.0","17.9","3.6","7.1",".",".","17.9",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","22","3.475","45.5","22.7","13.6",".","4.5","4.5",".","9.1",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","13","3.455","30.8","23.1","23.1","7.7",".",".",".","15.4",".",".",".",".",".",".",".","."
"Directed Study","399","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","002","6","3.700","33.3","50.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","400","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","","Course Total","7","3.667","28.6","57.1",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","401","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","21","3.950","85.7","9.5",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","402","003","18","3.882","77.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"","402","004","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","005","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","006","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","007","19","3.917","84.2","5.3","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","402","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","143","3.965","92.3","4.2","1.4",".",".",".",".","0.7",".",".",".",".","0.7","0.7",".","."
"Topics in Envir: Humanistic","404","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Education for Sustainable Cmty","405","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preserving Nature","413","001","25","3.688","60.0","12.0","24.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Law and Environment","430","001","8","3.188","12.5","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
