"CLASSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","",""
"Med Term-Greek&Latin Origin","205","001","96","3.774","68.8","15.6","10.4","1.0","1.0",".",".","3.1",".",".",".",".",".",".",".","."
"Classical Infl Western Art Sci","206","001","24","3.833","79.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","304","001","17","3.656","47.1","29.4","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"The Romans","322","001","81","3.682","49.4","27.2","13.6","1.2",".",".",".","6.2","2.5",".",".",".",".",".",".","."
"King David","335","001","12","3.938","58.3","8.3",".",".",".",".",".","8.3",".",".",".",".",".",".","25.0","."
"Conspiracy in Anc and Mod Wrld","340","001","82","3.779","62.2","13.4","7.3",".","2.4",".",".","12.2","2.4",".",".",".",".",".",".","."
"Rome:Changing Shape of City","350","002","7","2.925","14.3","28.6","28.6",".",".","14.3",".","14.3",".",".",".",".",".",".",".","."
"Classical Mythology","370","001","189","3.619","51.9","13.8","6.9","2.6","1.6","3.2",".","17.5","2.6",".",".",".",".",".",".","."
"","371","001","16","3.750","62.5","18.8",".",".","6.3",".",".",".",".",".",".",".","6.3",".","6.3","."
"","371","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Greek Culture","","Course Total","21","3.567","52.4","14.3","9.5",".","9.5",".",".",".","4.8",".",".",".","4.8",".","4.8","."
"Topics in Classical Culture","373","004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Smr:Classicl Wrld","591","001","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Senior Honors Thesis","682","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","","Course Total","3","***","","","","","","","","","","","","","","","",""
