"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","",""
"COMMUNITY & ENVIRONMENTA Section","","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","",""
"Intro-Community & Envir Soc","140","001","25","3.780","76.0","20.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211","001","23","3.477","39.1","30.4","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".","4.3"
"Food, Culture, and Society","222","001","37","3.657","40.5","43.2","10.8",".",".",".",".",".",".",".",".",".",".",".","5.4","."
"Latin America-Introduction","260","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","299","071","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","17","3.813","76.5","11.8",".",".","5.9",".",".",".",".",".",".",".",".","5.9",".","."
"Stats for Sociologists I","360","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Mgt for Soc Sci Research","365","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","375","001","27","3.800","63.0","22.2","7.4",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"","399","071","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Education for Sustainable Cmty","405","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","11","3.800","63.6","18.2","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Capstone Experience","500","001","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Poverty and Place","578","001","11","3.900","81.8",".","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Community Development","617","001","11","3.773","81.8",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","11","3.556","27.3","36.4","18.2",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"Sociol-Economic Institutions","652","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","875","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Human Ecology","977","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch:Comm & Environmental Soc","985","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch: Race & Ethnic Studies","987","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Rsch: Methodology Trainees","995","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Demogrphy&Ecol Trainee","997","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","089","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","","Course Total","2","***","","","","","","","","","","","","","","","",""
