"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","",""
"370
Publ Hlth:Local-Globl Perspect","001","","348","3.559","34.8","37.9","15.8","2.3","1.1",".",".","7.8
.",".",".",".","0.3",".",".","."
"471
Intro-Environmental Health","001","","70","3.633","45.7","20.0","18.6",".","1.4",".",".","12.9
.",".",".",".",".","1.4",".","."
"548
Economics of Health Care","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"552
Regression Methods-Pop Health","001","","12","3.727","50.0","33.3","8.3",".",".",".",".","8.3
.",".",".",".",".",".",".","."
"626
Toxicology II","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"640
Foundations-Global Hlth Pract","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"644","004","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"644","005","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Global Health & Disease","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"650
Special Topics","086","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","020","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","032","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","19","4.000","94.7",".",".",".",".",".",".",".  
.",".",".",".","5.3",".",".","."
"721
Conspiracies in Public Health","011","","12","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"728
Climate Change Medicine","044","","68","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"729
Preparedness in Pub Hlth","045","","149","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"750
Cancer Epidemiology","001","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"784
PH Surveillance & Analytics","001","","48","3.667","35.4","54.2","4.2",".",".",".",".","6.3
.",".",".",".",".",".",".","."
"791
Physical Activity Epidemiology","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"798
Epidemiologic Methods","001","","17","3.767","52.9","29.4","5.9",".",".",".",".","11.8
.",".",".",".",".",".",".","."
"801
Epidemiology-Infect Disease","001","","17","4.000","94.1",".",".",".",".",".",".","5.9
.",".",".",".",".",".",".","."
"806
Practice of Epidemiology","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"848
Health Economics","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"888
Public Health Genomics","001","","25","3.583","60.0","16.0","16.0",".",".",".","4.0",".   
4.0",".",".",".",".",".",".","."
"915","002","","4","***","","","","","","","","",".",".",".",".",".",".","."
"915","004","","3","***","","","","","","","","",".",".",".",".",".",".","."
"915","050","","11","3.682","54.5","27.3","18.2",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Internl Hlth Systems & Policy","Course Total","","18","3.667","55.6","22.2","22.2",".",".",".",".",".  
.",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","",".",".",".",".",".",".","."
