"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S/SD","U/UD","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"ELPA","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","7","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Junior","13","3.792","84.6",".","7.7","7.7",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Senior","23","4.000","87.0",".",".",".",".","",".","",".","8.7","4.3",".","",".",".",".",".",".","."
"Undergraduates","43","3.929","88.4",".","2.3","2.3",".","",".","",".","4.7","2.3",".","",".",".",".",".",".","."
"Special","11","3.850","72.7","9.1","9.1",".",".","",".","",".",".",".",".","",".",".","9.1",".",".","."
"Graduate","539","3.976","80.7","2.4","0.4",".","0.2","",".","",".","11.1","0.2","0.4","",".","2.2","1.9","0.4","0.2","."
"Prof Yr 2","5","***","","","","","","","","","","","",".","",".",".","20.0",".",".","."
"Prof Yr 3","4","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","9","4.000","77.8",".",".",".",".","",".","",".","11.1",".",".","",".",".","11.1",".",".","."
