"FARM & INDUSTRY SHORT COU Section","","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"375
FISC","","","","","","","","","","","","","","","","","","","","",""
"Dairy Cattle Selection & Eval","105","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agribusiness Feasibility Plng","115","001","","16","3.719","75.0","6.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Ag Commodities Marketing","121","001","","20","2.975","15.0","30.0","15.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Soil and Crop Nutrient Mgmt","133","001","","18","3.306","33.3","11.1","44.4","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Reproduction of Farm Animals","134","001","","17","2.647","17.6","17.6","5.9","17.6","29.4","11.8",".",".",".",".",".",".",".",".",".","."
"ID and Management of Ag Pests","142","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Farm Power","143","001","","13","2.500","15.4","15.4","23.1","7.7","15.4","15.4","7.7",".",".",".",".",".",".",".",".","."
"Agricultural Sales","21","001","","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Safe & Effective Pesticide Use","23","001","","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Ag Weather and Climate","49","001","","34","2.118","11.8","2.9",".","32.4","26.5","20.6","5.9",".",".",".",".",".",".",".",".","."
"The Business of Agriculture","50","001","","30","2.783","33.3","10.0","13.3","6.7","23.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"Agricultural Safety and Health","52","001","","32","2.672","21.9","6.3","18.8","21.9","18.8","9.4","3.1",".",".",".",".",".",".",".",".","."
"Ag Human Resources Mgmt","53","001","","31","2.661","25.8","16.1","9.7","6.5","29.0","3.2","9.7",".",".",".",".",".",".",".",".","."
"Agribusiness Communications","54","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dairy Herd Health","61","001","","12","3.042","8.3","16.7","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Pasture Management","71","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"PBDL: Managing the Business","73","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","75","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","75","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in FISC","","Course Total","","2","***","","","","","","","","","","","","","","","",""
