"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","",""
"299","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","",""
"350
Parasitology","001","","6","3.583","66.7",".","16.7","16.7",".",".",".",".   
.",".",".",".",".",".",".","."
"370
Sci Ethics Dis of Animal Rsrch","001","","30","3.690","46.7","40.0","10.0",".",".",".",".","3.3
.",".",".",".",".",".",".","."
"514
Veterinary Parasitology","001","","95","3.705","64.2","12.6","23.2",".",".",".",".",".   
.",".",".",".",".",".",".","."
"515
Reg Vet Med & Public Health","001","","99","3.864","76.8","19.2","4.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"526
Active, Integrated Learning II","001","","93","4.000","98.9",".",".",".",".",".",".","1.1
.",".",".",".",".",".",".","."
"561
Veterinary Systemic Path II","001","","93","3.849","72.0","25.8","2.2",".",".",".",".",".   
.",".",".",".",".",".",".","."
"562
Veterinary Clinic Pathology","001","","93","3.625","44.1","37.6","15.1","2.2",".",".",".","1.1
.",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","39","4.000","71.8",".",".",".",".",".",".","28.2
.",".",".",".",".",".",".","."
"675","002","","24","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"675","005","","13","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Special Topics","Course Total","","37","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","032","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","4.000","78.6",".",".",".",".",".",".","21.4
.",".",".",".",".",".",".","."
"775","001","","9","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"775","002","","5","***","","","","","","","","",".",".",".",".",".",".","."
"775","004","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","16","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"930
Advanced Seminar","011","","20","3.833","45.0","10.0","5.0",".",".",".",".","40.0
.",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","056","","2","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 440 of 447",""
