"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S/SD","U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"B M I","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","8","3.667","50.0","12.5",".","12.5",".",".",".","25.0",".",".",".",".",".",".",".","."
"Undergraduates","","10","3.625","40.0","30.0",".","10.0",".",".","",".  
20.0",".",".",".",".",".",".",".","."
"Special","","19","3.936","78.9","10.5",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Graduate","","133","3.950","85.7","6.8","0.8",".",".",".",".","3.8",".","0.8",".",".","2.3",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","5","***","","","","","","","","","",".",".",".",".",".",".","."
