"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","262","3.565","34.7","31.7","9.2","1.9","0.8","0.8","0.8","18.3","1.9",".",".",".",".",".",".","."
"","300
002","234","3.564","33.3","26.5","8.1","3.0","0.9","0.9","0.4","26.5","0.4",".",".",".",".",".",".","."
"","300
003","198","3.609","40.9","26.3","12.6","2.5","0.5",".","0.5","16.7",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","694","3.578","36.0","28.4","9.8","2.4","0.7","0.6","0.6","20.6","0.9",".",".",".",".",".",".","."
"","305
001","35","3.688","34.3","57.1",".",".",".",".",".","8.6",".",".",".",".",".",".",".","."
"","305
002","44","3.471","25.0","27.3","25.0","2.3",".",".",".","20.5",".",".",".",".",".",".",".","."
"","305
003","45","3.878","80.0","15.6","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","43","3.929","83.7","14.0",".",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","167","3.760","56.9","26.9","7.8","0.6",".",".",".","7.8",".",".",".",".",".",".",".","."
"","310
001","37","3.617","29.7","40.5","10.8",".",".",".",".","18.9",".",".",".",".",".",".",".","."
"","310
002","35","3.563","28.6","45.7","17.1",".",".",".",".","8.6",".",".",".",".",".",".",".","."
"","310
003","32","3.463","12.5","53.1","18.8",".",".",".",".","15.6",".",".",".",".",".",".",".","."
"","310
004","19","3.444","36.8","42.1","10.5",".",".",".","5.3","5.3",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","123","3.533","26.0","45.5","14.6",".",".",".","0.8","13.0",".",".",".",".",".",".",".","."
"","355
001","48","3.969","95.8","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
002","31","3.917","80.6","16.1",".",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","355
003","48","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","127","3.960","92.1","6.3","0.8",".",".",".",".","0.8",".",".",".",".",".",".",".","."
"","365
002","33","3.844","87.9","3.0",".","3.0",".","3.0",".",".",".",".",".",".","3.0",".",".","."
"","365
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
005","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","51","3.850","88.2","5.9",".","2.0",".","2.0",".",".",".",".",".",".","2.0",".",".","."
"Reading & Rsch-Marketing","399
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sports Marketing","410
001","38","3.635","55.3","34.2","2.6",".",".","5.3",".","2.6",".",".",".",".",".",".",".","."
"","415
001","42","3.793","76.2","16.7","2.4",".",".",".","2.4","2.4",".",".",".",".",".",".",".","."
"","415
002","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","89","3.903","88.8","7.9","1.1",".",".",".","1.1","1.1",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","26","3.720","53.8","30.8","11.5",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","21","3.625","33.3","52.4","9.5",".",".",".",".",".","4.8",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
001","29","3.654","37.9","41.4","10.3",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","427
001","40","3.662","42.5","30.0","10.0","2.5",".",".",".","15.0",".",".",".",".",".",".",".","."
"Strategic Pricing","430
001","26","3.458","30.8","46.2","11.5",".",".",".","3.8","7.7",".",".",".",".",".",".",".","."
"Marketing Analytics","450
001","25","3.611","28.0","40.0",".",".","4.0",".",".","28.0",".",".",".",".",".",".",".","."
"","460
001","50","3.659","40.0","28.0","14.0",".",".",".",".","18.0",".",".",".",".",".",".",".","."
"","460
002","49","3.525","22.4","40.8","18.4",".",".",".",".","18.4",".",".",".",".",".",".",".","."
"","460
003","41","3.458","17.1","19.5","22.0",".",".",".",".","41.5",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","140","3.562","27.1","30.0","17.9",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Strategic Retailing","640
001","20","3.269","15.0","25.0","10.0","10.0","5.0",".",".","35.0",".",".",".",".",".",".",".","."
"Consumer Behavior","705
001","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","715
001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 62 of 447"
