"TERM : 1204","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar",""
"Spring 2019-2020","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOLECULAR & ENVIRONMENTA Section","#","Ave","A","","AB","","B","","BC","C","","D","","F","","S/SD U/UD","","CR","N","","P","","I","","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","990
037
1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".   
."
"","990
070
1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".   
."
"","990
085
1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".   
."
"Research","Course Total
3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".","",".","",".",".",".  
."
"M&ENVTOX
362","3
Dept. Total","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".  
."
"Summary by Level","#","Ave","A","","AB","","B","","BC","C","","D","","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Graduate","3","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".  
."
"","Dept. Total
3","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".  
."
"August 24, 2020","","","","","","","","","","","","","","","","","","","","","","","","","","Page 366 of 447"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report","","","","","","","","","","","","","","","","","","","","","","","","","",""
