"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","10","4.000","100.0",".",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","25","4.000","100.0",".",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","40","4.000","100.0",".",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","48","3.833","64.6","14.6","4.2","",".","",".","",".","",".","16.7",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","25","3.931","84.0","8.0",".","",".","",".","",".","",".","8.0",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","16","4.000","6.3",".",".","",".","",".","",".","",".","93.8",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","29","4.000","3.4",".",".","",".","",".","",".","",".","96.6",".",".","",".","",".","",".",".",".","."
"Professionals","118","3.881","45.8","7.6","1.7","",".","",".","",".","",".","44.9",".",".","",".","",".","",".",".",".","."
