"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","",""
"990","082","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","088","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","089","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","090","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","093","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","095","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","097","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","098","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","103","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","38","",".",".",".",".",".",".",".","97.4
.",".",".","2.6",".",".",".","."
"999","059","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","089","","5","***","","","","","","","","",".",".",".",".",".",".","."
"Spec Work-Ag & Appl Economics","Course Total","","6","3.818","66.7",".","16.7",".",".",".",".",".  
.",".",".",".","16.7",".",".","."
