"","990
027","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
035","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
040","5","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
041","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","31","",".",".",".",".",".",".","",".","48.4",".",".","",".","51.6","",".",".",".","."
"PL PATH
766","Dept. Total","237","3.780","61.6","11.0","5.9","0.8","0.4","0.4","",".","11.4","0.4",".","",".","6.8","",".","1.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S/SD","U/UD","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","3.250","11.1","22.2","55.6",".",".",".","",".","11.1",".",".","",".",".","",".",".",".","."
"Sophomore","","29","3.818","72.4","17.2","6.9",".",".",".","",".","3.4",".",".","",".",".","",".",".",".","."
"Junior","","71","3.862","73.2","9.9","4.2",".",".",".","",".","11.3",".",".","",".",".","",".","1.4",".","."
"Senior","","69","3.718","69.6","14.5","5.8","2.9","1.4","1.4","",".","2.9","1.4",".","",".",".","",".",".",".","."
"Undergraduates","","178","3.757","68.5","13.5","7.9","1.1","0.6","0.6","",".","6.7","0.6",".","",".",".","",".","0.6",".","."
"Special","","2","***","","","","","","","","","","",".","",".",".","",".","100.0",".","."
"Graduate","","57","3.949","42.1","3.5",".",".",".",".","",".","26.3",".",".","",".","28.1","",".",".",".","."
"","Dept. Total","237","3.780","61.6","11.0","5.9","0.8","0.4","0.4","",".","11.4","0.4",".","",".","6.8","",".","1.3",".","."
