"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","13","3.682","61.5",".","15.4","7.7",".",".",".","15.4",".",".",".",".",".",".",".","."
"","100
002","11","3.944","72.7","9.1",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"","100
003","13","3.917","76.9","15.4",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","100
004","13","3.750","46.2","23.1","7.7",".",".",".",".","15.4","7.7",".",".",".",".",".",".","."
"","100
005","15","3.731","53.3","20.0","13.3",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","100
006","16","3.867","68.8","25.0",".",".",".",".",".",".","6.3",".",".",".",".",".",".","."
"","100
007","16","3.821","68.8","12.5",".","6.3",".",".",".","6.3","6.3",".",".",".",".",".",".","."
"","100
008","16","3.750","75.0","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
009","14","3.808","64.3","21.4","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","100
010","15","3.667","66.7","20.0",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
011","16","3.750","68.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","15","3.923","80.0",".","6.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","100
014","15","3.714","53.3","26.7","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","100
015","16","3.625","62.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","100
016","16","3.833","62.5","31.3",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Science and Storytelling","Course Total","235","3.793","67.2","17.0","4.7","1.7","1.7",".",".","6.4","1.3",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","15","3.269","40.0","6.7","26.7",".","6.7","6.7",".","6.7","6.7",".",".",".",".",".",".","."
"","212
001","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","20","3.395","45.0","20.0","10.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".","5.0"
"Intro-Scientific Communication","Course Total","38","3.581","50.0","31.6","5.3","7.9",".","2.6",".",".",".",".",".",".",".",".",".","2.6"
"","250
001","38","3.297","31.6","15.8","18.4","7.9","10.5",".",".","15.8",".",".",".",".",".",".",".","."
"","250
002","57","3.210","19.3","24.6","28.1","5.3","10.5",".",".","10.5",".",".",".",".",".",".",".","1.8"
"Rsrch Mthd: Commun Indstry","Course Total","95","3.244","24.2","21.1","24.2","6.3","10.5",".",".","12.6",".",".",".",".",".",".",".","1.1"
"Science, Media and Society","251
001","120","3.393","40.0","21.7","11.7","2.5","5.0","4.2","0.8","9.2","2.5",".",".",".",".",".","2.5","."
"Comm in Life Sci Industries","270
001","25","3.848","76.0","12.0",".",".","4.0",".",".","4.0","4.0",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","18","3.300","33.3","11.1","27.8","5.6",".","5.6",".",".","11.1",".",".",".",".",".",".","5.6"
"Print&Electronic Media Dsgn","332
001","27","3.827","74.1","14.8","3.7","3.7",".",".",".",".","3.7",".",".",".",".",".",".","."
"Information Radio","360
001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography for the Sciences","450
001","23","3.136","47.8","21.7","4.3","4.3",".","8.7","8.7","4.3",".",".",".",".",".",".",".","."
"Ag Marketing NAMA","477
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Marketing of Sciences","515
001","29","3.655","75.9","3.4","13.8","3.4",".",".","3.4",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","18","3.719","61.1","16.7","5.6",".","5.6",".",".","5.6","5.6",".",".",".",".",".",".","."
"Scientific Writing","560
001","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Video Production","614
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","21","3.762","71.4","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 5 of 447"
