"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Architectural Theory","150","001","","15","3.250","40.0","20.0","20.0",".","6.7",".","6.7",".",".",".",".",".","6.7",".",".","."
"Architectural Making I","151","001","","9","3.714","44.4","22.2","11.1",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"Construction Systems","290","001","","10","3.375","20.0","30.0","20.0","10.0",".",".",".","20.0",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","28","3.475","21.4","28.6","17.9","3.6",".",".",".","28.6",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","60","3.146","15.0","16.7","33.3","10.0","3.3","1.7",".","18.3","1.7",".",".",".",".",".",".","."
"Hydroscience","311","001","","59","3.440","22.0","22.0","23.7","3.4",".",".",".","28.8",".",".",".",".",".",".",".","."
"Environmental Engineering","320","002","","50","3.880","76.0","10.0","6.0",".",".",".",".","6.0",".",".",".",".",".","2.0",".","."
"Soil Mechanics","330","002","","74","3.324","21.6","20.3","25.7",".","2.7","2.7",".","25.7","1.4",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","63","3.823","79.4","7.9","6.3","4.8",".",".",".","1.6",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","59","3.480","28.8","25.4","32.2",".",".",".",".","11.9","1.7",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","13","3.818","61.5","15.4","7.7",".",".",".",".","7.7","7.7",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","51","3.462","25.5","21.6","27.5","2.0",".",".",".","23.5",".",".",".",".",".",".",".","."
"Hydraulic Engineering","410","001","","15","3.571","53.3","26.7","6.7",".",".","6.7",".","6.7",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","28","3.620","42.9","25.0","21.4",".",".",".",".","10.7",".",".",".",".",".",".",".","."
"","428","001","","33","3.955","93.9","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","002","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","003","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","","Course Total","","74","3.959","93.2","5.4","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","13","3.636","30.8","46.2","7.7",".",".",".",".",".","15.4",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","33","3.633","45.5","27.3","15.2","3.0",".",".",".","9.1",".",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","","21","3.619","38.1","47.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","61","3.340","19.7","24.6","31.1","4.9","1.6",".",".","18.0",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","","12","3.591","33.3","41.7","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","65","3.500","26.2","40.0","13.8","6.2",".",".",".","13.8",".",".",".",".",".",".",".","."
"Composite Materials","508","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mixing and Transport in Env","511","001","","11","3.900","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Hydroclimatology","515","001","","13","3.667","46.2","30.8","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","522","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522","002","","32","3.903","87.5","3.1","3.1","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"","522","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hazardous Waste Management","","Course Total","","48","3.936","91.7","2.1","2.1","2.1",".",".",".","2.1",".",".",".",".",".",".",".","."
"Steel Structures II","545","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","","29","3.517","17.2","69.0","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","67","3.765","64.2","22.4","11.9",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"","579","001","","43","4.000","97.7",".",".",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"","579","004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","","Course Total","","57","4.000","98.2",".",".",".",".",".",".","1.8",".",".",".",".",".",".",".","."
