"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","283","3.476","38.5","14.5","31.1","1.4","2.1",".","0.4","10.2","1.4",".",".",".",".",".","0.4","."
"","102
001","30","3.625","53.3","20.0","13.3","3.3","3.3",".",".","6.7",".",".",".",".",".",".",".","."
"","102
002","39","3.632","48.7","17.9","17.9",".","2.6",".",".","7.7","2.6",".",".",".",".",".","2.6","."
"","102
003","38","3.559","50.0","10.5","23.7",".","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"","102
004","19","3.639","57.9","15.8","15.8",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","126","3.610","51.6","15.9","18.3","0.8","4.0",".",".","7.9","0.8",".",".",".",".",".","0.8","."
"","299
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
097","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","14","3.909","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","186","3.430","37.6","21.5","17.2","8.6","2.2","1.1","0.5","10.8","0.5",".",".",".",".",".",".","."
"","304
001","39","3.431","35.9","20.5","25.6","7.7","2.6",".",".","7.7",".",".",".",".",".",".",".","."
"","304
002","28","3.478","35.7","14.3","28.6",".","3.6",".",".","14.3",".",".",".",".","3.6",".",".","."
"","304
003","30","3.534","43.3","23.3","26.7",".","3.3",".",".","3.3",".",".",".",".",".",".",".","."
"","304
004","35","3.517","48.6","11.4","17.1","2.9","2.9","2.9",".","11.4",".",".",".",".","2.9",".",".","."
"Biology of Microorganisms Lab","Course Total","132","3.487","40.9","17.4","24.2","3.0","3.0","0.8",".","9.1",".",".",".",".","1.5",".",".","."
"","305
001","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","305
002","16","3.967","87.5","6.3",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","305
003","16","3.875","87.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","47","3.944","89.4","4.3",".","2.1",".",".",".","2.1",".",".",".",".","2.1",".",".","."
"Microbiome-Plants/Anmls/Humans","335
001","20","3.684","55.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"","375
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","21","3.971","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microrg","450
001","65","3.509","44.6","18.5","10.8","9.2","4.6",".",".","10.8",".",".",".",".",".","1.5",".","."
"Micro Genetics & Mol Machines","470
001","66","3.309","30.3","3.0","43.9",".","6.1",".",".","13.6","1.5",".",".",".",".",".","1.5","."
"Soil Microbiology & Biochem","523
001","14","3.700","57.1",".","7.1",".","7.1",".",".","21.4","7.1",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","79","3.570","49.4","21.5","12.7",".","3.8","2.5",".","7.6","2.5",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","35","3.943","94.3",".","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
001","23","3.825","69.6","8.7","4.3","4.3",".",".",".","8.7",".",".",".",".","4.3",".",".","."
"","551
002","24","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","13","3.917","84.6",".","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","551
004","17","3.750","76.5",".","11.8",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Capstone Rsch Proj Microbio","Course Total","77","3.778","71.4","6.5","13.0","1.3","1.3",".",".","3.9",".",".",".",".","2.6",".",".","."
"","682
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
