"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"","102
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","11","4.000","81.8",".",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"","102
003","","15","3.808","60.0","20.0","6.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"2nd Semester Russian","Course Total","","34","3.900","73.5","11.8","2.9",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","204
001","","14","3.833","57.1","28.6",".",".",".",".",".","7.1","7.1",".",".",".",".",".",".","."
"","204
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Russian","Course Total","","19","3.882","68.4","21.1",".",".",".",".",".","5.3","5.3",".",".",".",".",".",".","."
"Fourth Semester Polish","208
001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
001","","10","3.556","40.0","30.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","245
002","","14","3.038","28.6","35.7","7.1",".","7.1","7.1","7.1","7.1",".",".",".",".",".",".",".","."
"Topics-Slavic Literatures","Course Total","","24","3.250","33.3","33.3","8.3","4.2","4.2","4.2","4.2","8.3",".",".",".",".",".",".",".","."
"4th Semester Serbo-Croatian","252
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254
001","","16","3.769","62.5","6.3","6.3","6.3",".",".",".","12.5","6.3",".",".",".",".",".",".","."
"","276
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","276
002","","9","3.813","55.6","33.3",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Third Year Russian II","Course Total","","14","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Third Year Polish I","277
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem Intensive Polish","304
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Area St-Study Abroad","309
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Lang & Culture II","316
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Russian II","322
001","","6","3.500","33.3","16.7",".","16.7",".",".",".","16.7",".",".",".",".","16.7",".",".","."
"Gogol","421
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Russian Culture","434
001","","18","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Adv Russian Listen & Speaking","555
001","","13","3.731","69.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","699
007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Old Russian Lit","701
001","","6","3.900","66.7","16.7",".",".",".",".",".",".","16.7",".",".",".",".",".",".","."
"","799
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"The Structure of Russian","802
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"OCS/Russ Literary Lang","803
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of Russian","820
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Slavic Lit & Culture","900
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
