"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","",""
"940","004","","19","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"940","006","","12","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"940","007","","4","***","","","","","","","","",".",".",".",".",".",".","."
"940","008","","19","3.875","68.4","10.5","5.3",".",".",".",".","10.5
.",".",".",".","5.3",".",".","."
"940","009","","17","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","Course Total","","84","3.962","90.5","2.4","2.4",".",".",".",".","2.4
.",".",".",".","2.4",".",".","."
"990","003","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","036","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","042","","10","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","043","","11","",".",".",".",".",".",".",".","36.4
.",".",".","54.5","9.1",".",".","."
"990","044","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","045","","10","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","061","","8","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","063","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","066","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","067","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","068","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","069","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","72","",".",".",".",".",".",".",".","79.2
1.4",".",".","15.3","1.4","2.8",".","."
"999","003","","2","***","","","","","","","","",".",".",".",".",".",".","."
"999","036","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","043","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","044","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","045","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","057","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"999","061","","15","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"999","063","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","066","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","067","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","069","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","070","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","076","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","34","4.000","97.1",".",".",".",".",".",".",".  
.",".",".",".",".",".","2.9","."
