"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","16","3.885","87.5","6.3","6.3","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","23","4.000","100.0",".",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","43","3.959","95.3","2.3","2.3","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Special","","45","4.000","91.1",".",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".","8.9","."
"Prof Yr 3","","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","16","3.750","6.3","6.3",".","",".","",".","",".","",".","87.5",".",".","",".","",".","",".",".",".","."
"Professionals","","21","3.750","4.8","4.8",".","",".","",".","",".","",".","90.5",".",".","",".","",".","",".",".",".","."
