"L&S","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"PHYSICS
754","Dept. Total","3341","3.458","31.9","22.5","16.5","5.1","2.4","0.5","0.0","18.8
0.8","0.1","",".","1.0","0.1","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S/SD
U/UD","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","118","3.359","28.8","26.3","12.7","7.6","4.2","0.8",".","19.5
.",".","",".",".",".",".",".","."
"Sophomore","","627","3.456","30.8","24.6","15.3","5.1","2.4","0.5","0.2","19.6
1.4","0.2","",".",".",".",".",".","."
"Junior","","1150","3.462","31.0","24.8","17.3","5.2","2.2","0.8",".","18.0
0.7",".","",".",".",".",".",".","."
"Senior","","1120","3.447","35.4","21.3","18.0","5.9","3.0","0.4",".","14.6
0.8","0.2","",".","0.1","0.3","0.1",".","."
"Undergraduates","","3015","3.452","32.5","23.5","17.0","5.5","2.6","0.6","0.0","17.1
0.9","0.1","",".","0.0","0.1","0.0",".","."
"Special","","32","3.312","25.0","12.5","15.6","9.4","6.3",".",".","9.4
.",".","",".",".",".","3.1","18.8","."
"Graduate","","295","3.631","26.8","13.2","11.2","0.3",".",".",".","36.6
0.3",".","",".","10.5","0.3",".","0.7","."
"","Dept. Total","3342","3.458","31.9","22.5","16.5","5.1","2.4","0.5","0.0","18.8
0.8","0.1","",".","1.0","0.1","0.1","0.2","."
