"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"407","001","","15","3.767","66.7","20.0","13.3",".",".",".",".",".   
.",".",".",".",".",".",".","."
"407","003","","15","3.700","60.0","20.0","20.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","30","3.733","63.3","20.0","16.7",".",".",".",".",".  
.",".",".",".",".",".",".","."
"415
Thermal Physics","001","","38","3.591","47.4","13.2","23.7",".","2.6",".",".","10.5
2.6",".",".",".",".",".",".","."
"449
Atomic and Quantum Physics","001","","47","3.452","31.9","31.9","14.9","6.4","4.3",".",".","8.5
.",".",".",".","2.1",".",".","."
"498
Directed Study","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"499","021","","1","***","","","","","","","","",".",".",".",".",".",".","."
"499","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"499","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"499","045","","1","***","","","","","","","","",".",".",".",".",".",".","."
"499","046","","1","***","","","","","","","","",".",".",".",".",".",".","."
"499","056","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","6","3.250","33.3","33.3",".","16.7","16.7",".",".",".   
.",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"531
Intro to Quantum Mechanics","001","","28","3.417","28.6","17.9","7.1",".","10.7",".",".","21.4
7.1",".",".",".",".",".","7.1","."
"535
Intro-Particle Physics","001","","20","3.975","95.0","5.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"551
Solid State Physics","001","","23","3.682","56.5","17.4","21.7",".",".",".",".","4.3
.",".",".",".",".",".",".","."
"603
Wkshp-College Physics Tchg","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"623
Electronic Aids to Measmnt","001","","15","3.125","20.0","13.3","6.7",".","6.7","6.7",".","33.3
.",".",".",".","6.7","6.7",".","."
"681
Senior Honors Thesis","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","038","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","",""
"692","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"692","021","","2","***","","","","","","","","",".",".",".",".",".",".","."
"692","029","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","5","***","","","","","","","","","","","","","","",""
"715
Statistical Mechanics","001","","41","3.300","12.2","29.3","41.5","2.4",".",".",".","12.2
.",".",".",".",".",".","2.4","."
"721
Theor Physics-Electrodynmcs","001","","10","3.650","50.0","30.0","20.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"732
Quantum Mechanics","001","","31","3.672","51.6","22.6","19.4",".",".",".",".","6.5
.",".",".",".",".",".",".","."
"779
Advanced Quantum Computing","001","","23","3.643","43.5","30.4","17.4",".",".",".",".","8.7
.",".",".",".",".",".",".","."
"799","006","","2","***","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","",""
"832
Advanced Quantum Mechanics","001","","7","3.917","71.4","14.3",".",".",".",".",".",".   
14.3",".",".",".",".",".",".","."
"922
Seminar in Plasma Physics","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
