"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","",""
"227
Propagation of Hort Plants","001","","17","2.885","5.9","5.9","41.2","11.8","11.8",".",".","17.6
5.9",".",".",".",".",".",".","."
"299","008","","2","***","","","","","","","","",".",".",".",".",".",".","."
"299","041","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","045","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","",""
"326
Plant Nutrition Management","001","","15","3.357","20.0","26.7","46.7",".",".",".",".",".   
6.7",".",".",".",".",".",".","."
"334
Greenhouse Cultivation","001","","23","3.818","73.9","13.0","4.3","4.3",".",".",".",".   
4.3",".",".",".",".",".",".","."
"335","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"335","002","","10","4.000","90.0",".",".",".",".",".",".",".   
10.0",".",".",".",".",".",".","."
"Greenhouse Cultivation Lab","Course Total","","19","4.000","94.7",".",".",".",".",".",".",".  
5.3",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","7","3.667","57.1",".","28.6",".",".",".",".","14.3
.",".",".",".",".",".",".","."
"345
Fruit Crop Production","001","","29","2.762","3.4","17.2","17.2","24.1","3.4","6.9",".","10.3
10.3",".",".",".",".","6.9",".","."
"360
GM Crops:Sci,Reg,Controversy","001","","7","3.500","28.6","14.3",".","14.3",".",".",".","28.6
14.3",".",".",".",".",".",".","."
"372
Colloquium-Organic Agriculture","001","","14","4.000","64.3",".",".",".",".",".",".","28.6
.",".",".",".","7.1",".",".","."
"375","001","","41","3.846","75.6","9.8","9.8",".",".",".",".","2.4
2.4",".",".",".",".",".",".","."
"375","002","","11","3.071","18.2","27.3",".",".","9.1","9.1",".","18.2
.",".",".",".",".",".","18.2","."
"375","007","","4","***","","","","","","","","",".",".",".",".",".",".","."
"375","008","","19","3.933","73.7",".","5.3",".",".",".",".","5.3
5.3",".",".",".","10.5",".",".","."
"Special Topics","Course Total","","75","3.715","66.7","10.7","6.7",".","1.3","1.3",".","5.3
2.7",".",".",".","2.7",".","2.7","."
"550
Molec Approach-Crop Improvt","001","","13","3.923","92.3",".","7.7",".",".",".",".",".   
.",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","4.000","83.3",".",".",".",".",".",".","16.7
.",".",".",".",".",".",".","."
"799
Pract-Horticulture Teaching","042","","1","***","","","","","","","","",".",".",".",".",".",".","."
"812
Select Thry-Quant Traits","001","","6","3.500","16.7","33.3","16.7",".",".",".",".","33.3
.",".",".",".",".",".",".","."
"875","005","","22","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"875","008","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Special Topics","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"910
Seminar","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","7","4.000","85.7",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","14.3"
"990","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","019","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 30 of 447"
