"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","454
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","454
002","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","Course Total","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","10","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"","459
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","459
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","Course Total","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","463
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
002","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
003","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
004","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sem. in Pre-K Through MS Teach","Course Total","103","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","464
001","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
003","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg in Elem School","Course Total","70","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"EC/ESL Student Teaching","468
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","497
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","Course Total","5","***","","","","","","","","","","","","","","","",""
"","506
001","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","36","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
003","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","85","3.982","96.5","3.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pract-Teach Soc Studies","559
001","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Probs-Teaching World Lang","564
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Tch Engl Secn Schl","596
001","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Action Research in Schools","626
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev School & Community","Course Total","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","674
001","38","3.921","94.7",".","2.6",".","2.6",".",".",".",".",".",".",".",".",".",".","."
