"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S/SD","U/UD","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"PATH","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","68","3.706","58.8","26.5","10.3","1.5","1.5","",".","",".","1.5",".",".","",".",".","",".",".",".","."
"Senior","167","3.681","56.3","24.6","13.2","3.0","0.6","",".","",".","1.8","0.6",".","",".",".","",".",".",".","."
"Undergraduates","237","3.686","57.0","24.9","12.7","2.5","0.8","",".","",".","1.7","0.4",".","",".",".","",".",".",".","."
"Special","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","174","3.742","36.8","9.2","2.3",".",".","",".","",".","21.8",".","23.0","",".","4.6","",".",".","2.3","."
"Prof Yr 1","106","3.595","40.6","39.6","17.0","0.9","0.9","",".","",".","0.9",".",".","",".",".","",".",".",".","."
"Prof Yr 2","5","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","86","",".",".",".",".",".","",".","",".","98.8",".",".","",".",".","",".",".","1.2","."
"Prof Yr 4","29","4.000","3.4",".",".",".",".","",".","",".","93.1",".","3.4","",".",".","",".",".",".","."
"Professionals","226","3.599","19.5","18.6","8.0","0.4","0.4","",".","",".","52.2",".","0.4","",".",".","",".",".","0.4","."
