"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Integer Optimization","728","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Probability II","734","001","","11","3.700","45.5","36.4","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".","."
"Abstract Algebra","742","001","","30","4.000","93.3",".",".",".",".",".",".",".","6.7",".",".",".",".",".",".","."
"Homological Algebra","750","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology II","752","001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differentiable Manifolds","761","001","","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","764","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computability Theory","773","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Model Theory","776","001","","7","4.000","57.1",".",".",".",".",".",".","14.3",".",".",".",".","14.3","14.3",".","."
"Topics in Applied Math","801","001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Partial Differential Equatn","820","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics - Harmonic Analysis","828","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Probability","833","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Applied Algebra","842","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Arithmetic Geometry","844","001","","8","3.571","75.0",".",".",".",".","12.5",".",".","12.5",".",".",".",".",".",".","."
"Adv Topics-Algebraic Geom","863","001","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Foundations","873","001","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Seminar in Analysis","921","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","941","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","941","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","941","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Algebra","","Course Total","","14","4.000","7.1",".",".",".",".",".",".","92.9",".",".",".",".",".",".",".","."
"","951","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","951","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Topology","","Course Total","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Preparatory Algebra","96","001","","22","3.861","68.2","4.5","9.1",".",".",".",".","13.6",".",".",".",".",".",".","4.5","."
"Seminar in Number Theory","967","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
