"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","",""
"399","010","","3","***","","","","","","","","",".",".",".",".",".",".","."
"399","011","","2","***","","","","","","","","",".",".",".",".",".",".","."
"399","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"399","023","","1","***","","","","","","","","",".",".",".",".",".",".","."
"399","027","","1","***","","","","","","","","",".",".",".",".",".",".","."
"399","028","","2","***","","","","","","","","",".",".",".",".",".",".","."
"399","029","","2","***","","","","","","","","",".",".",".",".",".",".","."
"399","035","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"399","036","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"400
Org&Admin-Ath Training Prgm","001","","18","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"427
Fitness Test & Exer Prescript","001","","28","3.426","42.9","25.0","10.7","14.3",".","3.6",".","3.6
.",".",".",".",".",".",".","."
"450","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"450","002","","5","***","","","","","","","","",".",".",".",".",".",".","."
"Clinical Fld Exp in AT","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"457
Med Probs-Exercise & Sports","001","","10","3.900","80.0","20.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"475
Seminar-Athletic Training","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"478
Elem Sch Phy Ed Stdt Tchg","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"479
Secondary-Phys Ed Stdt Tchg","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"501
Health Info for Teachers","001","","27","3.981","96.3","3.7",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"508","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"508","002","","5","***","","","","","","","","",".",".",".",".",".",".","."
"508","003","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Workshop in Kinesiology","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"516
Phys Act for Diverse Abilities","001","","22","3.886","86.4","4.5","9.1",".",".",".",".",".   
.",".",".",".",".",".",".","."
"525
Nutrition, Fitness and Health","001","","15","3.679","46.7","33.3","13.3",".",".",".",".","6.7
.",".",".",".",".",".",".","."
"531
Neural Control of Movement","001","","46","3.872","69.6","23.9",".",".",".",".",".","6.5
.",".",".",".",".",".",".","."
"566
Promoting Community Health","001","","31","3.917","83.9","9.7","3.2",".",".",".",".",".   
.",".",".",".","3.2",".",".","."
"568
Stdt Tchg-Health Education","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"600
Advanced Exercise Psychology","001","","17","3.853","76.5","17.6","5.9",".",".",".",".",".   
.",".",".",".",".",".",".","."
"614
Biol Factors-Exercise Perf","001","","24","3.848","70.8","20.8","4.2",".",".",".",".","4.2
.",".",".",".",".",".",".","."
"690
Internship in Kinesiology","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","003","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","026","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 107 of 447",""
