"Section","","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"990","024","","5","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","5","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","46","","",".","",".","",".",".","",".","",".","",".","76.1
.",".",".","23.9",".",".",".","."
