"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","",""
"890","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","014","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","017","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","019","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","020","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","021","","4","***","","","","","","","","",".",".",".",".",".",".","."
"890","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","025","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","026","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","033","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","048","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","052","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","053","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","058","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","061","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","067","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","071","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","074","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","076","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","39","",".",".",".",".",".",".",".","89.7
.",".",".","10.3",".",".",".","."
"909
Env Chem & Tech Grad Seminar","001","","17","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"911
Limnology & Marine Sci Seminar","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"919
Hydraulic Engr & Fluid Mech","001","","21","4.000","61.9",".",".",".",".",".",".","38.1
.",".",".",".",".",".",".","."
"929","001","","20","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"929","003","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Envir Engineering","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"939
Smr-Geotechnical Engr","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","064","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","069","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","20","",".",".",".",".",".",".",".","85.0
.",".",".","15.0",".",".",".","."
"999","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
