"Literatures of Central Asia","324
001
5","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Turkish","340
001
3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Kazakh","432
001
2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Turkish","440
001
1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"GNS
425","11
Dept. Total","3.821","63.6","36.4","",".","",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","","BC","","C","","D","","F","","S/SD","U/UD","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"425
GNS","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","7","3.854","71.4","28.6","",".","",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
11","3.821","63.6","36.4","",".","",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
