"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","",""
"682","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","094","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","",""
"699","011","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","019","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","022","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","094","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","116","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","121","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","127","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","135","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","136","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","151","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","152","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","153","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","41","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"702
Advanced Genetics II","001","","10","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"707
Genetics of Development","001","","22","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"888
Public Health Genomics","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","7","",".",".",".",".",".",".",".","85.7
.",".",".","14.3",".",".",".","."
"990","017","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","023","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","094","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","096","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","101","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","106","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","109","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","117","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","118","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","121","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","122","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","126","","1","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 27 of 447"
