"Dante's Divine Comedy","253
001","","28","3.587","53.6","10.7","10.7",".","","3.6","3.6","",".","17.9",".",".",".","",".","",".","",".",".","."
"Crusades: Christianity & Islam","309
001","","4","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"In Transl:Scand Tale&Ballad","345
001","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Advanced Old English Lit","521
001","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MEDIEVAL
633","Dept. Total","","34","3.626","55.9","8.8","11.8","",".","2.9","2.9","",".","17.6",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","4","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","14","3.618","50.0","14.3","7.1","",".","7.1",".","",".","21.4",".",".","",".","",".","",".",".",".","."
"Senior","","","13","3.724","61.5","7.7","23.1","",".",".",".","",".","7.7",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","31","3.613","58.1","9.7","12.9","",".","3.2","3.2","",".","12.9",".",".","",".","",".","",".",".",".","."
"Special","","","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","34","3.626","55.9","8.8","11.8","",".","2.9","2.9","",".","17.6",".",".","",".","",".","",".",".",".","."
