"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","",""
"","300
001","19","3.842","73.7","21.1","5.3",".",".",".",".",".   
.",".",".","",".","",".","",".",".","."
"","300
002","23","4.000","100.0",".",".",".",".",".",".",".   
.",".",".","",".","",".","",".",".","."
"Actuarial Science Methods I","Course Total","42","3.929","88.1","9.5","2.4",".",".",".",".",".  
.",".","",".","",".","",".",".",".","."
"","301
001","44","3.878","81.8","4.5","4.5",".","2.3",".",".","6.8
.",".",".","",".","",".","",".",".","."
"","301
002","23","3.905","78.3","8.7","4.3",".",".",".",".","8.7
.",".",".","",".","",".","",".",".","."
"Actuarial Science Methods II","Course Total","67","3.887","80.6","6.0","4.5",".","1.5",".",".","7.5
.",".","",".","",".","",".",".",".","."
"","303
001","41","3.481","26.8","12.2","24.4","2.4",".",".",".","31.7
2.4",".",".","",".","",".","",".",".","."
"","303
002","32","3.423","40.6","6.3","31.3",".",".",".","3.1","18.8
.",".",".","",".","",".","",".",".","."
"Theory of Interest","Course Total","73","3.453","32.9","9.6","27.4","1.4",".",".","1.4","26.0
1.4",".","",".","",".","",".",".",".","."
"Contemporary Topics","365
001","19","4.000","100.0",".",".",".",".",".",".",".   
.",".",".","",".","",".","",".",".","."
"Actuarial Mathematics I","650
001","30","3.500","30.0","26.7","13.3","3.3","3.3",".",".","20.0
3.3",".",".","",".","",".","",".",".","."
"Actuarial Mathematics II","651
001","35","3.365","31.4","20.0","5.7","5.7","11.4",".",".","25.7
.",".",".","",".","",".","",".",".","."
"Loss Models I","652
001","25","3.400","32.0","24.0","12.0","8.0",".","4.0",".","20.0
.",".",".","",".","",".","",".",".","."
"Loss Models II","653
001","65","3.489","32.3","13.8","23.1","1.5",".","1.5",".","26.2
1.5",".",".","",".","",".","",".",".","."
"Regressn&Time Series-Actuaries","654
001","27","3.167","7.4","25.9","14.8",".","3.7","3.7",".","44.4
.",".",".","",".","",".","",".",".","."
"Health Analytics","655
001","23","3.353","17.4","17.4","39.1",".",".",".",".","26.1
.",".",".","",".","",".","",".",".","."
"Contemporary Topics","765
001","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".","",".","",".","",".",".","."
"ACT SCI
242","Dept. Total","412","3.509","47.3","13.6","14.8","1.7","1.7","0.7","0.2","19.2
0.7",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S/SD
U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","89","3.625","59.6","7.9","18.0",".",".",".",".","14.6
.",".","",".","",".","",".",".",".","."
"Junior","","103","3.649","64.1","9.7","7.8","1.0","2.9",".",".","14.6
.",".","",".","",".","",".",".",".","."
"Senior","","181","3.501","32.6","17.7","17.1","1.7","1.1",".","0.6","27.6
1.7",".","",".","",".","",".",".",".","."
"Undergraduates","","373","3.562","47.7","13.1","14.7","1.1","1.3",".","0.3","20.9
0.8",".","",".","",".","",".",".",".","."
"Special","","30","3.036","30.0","23.3","20.0","10.0","6.7","10.0",".",".  
.",".","",".","",".","",".",".",".","."
"Graduate","","9","4.000","88.9",".",".",".",".",".",".","11.1
.",".","",".","",".","",".",".",".","."
"","Dept. Total","412","3.509","47.3","13.6","14.8","1.7","1.7","0.7","0.2","19.2
0.7",".","",".","",".","",".",".",".","."
