"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"770
Human-Computer Interaction","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"803
Advanced Techniques","001","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"805
Field Work-Clinical Psych","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"809
Ethical & Legal Issues I","001","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"930
Seminar-Social Psychology","001","","10","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","044","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","045","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","053","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","057","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","065","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","46","",".",".",".",".",".",".",".","87.0
.",".",".","13.0",".",".",".","."
