"Summary by Level","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","5","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","7","4.000","100.0","",".","",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","13","4.000","100.0","",".","",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","25","4.000","100.0","",".","",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","6","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","17","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".","",".","",".",".",".","."
"Professionals","","25","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".","",".","",".",".",".","."
