"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S/SD","U/UD","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"MD GENET","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","8","3.905","75.0","25.0",".","",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","9","3.917","77.8","22.2",".","",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
14","3.742","57.1","14.3","14.3","",".","",".","",".","",".","14.3",".",".",".",".",".",".",".","."
