"MED","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","Section","#","Ave","A","AB","B","BC","","C","","D","","F","S/SD U/UD","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE
632","Dept. Total","808","3.961","17.8","0.5","0.1","",".","",".","",".","0.1","80.0
0.1",".","",".","0.9","0.2",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","S/SD
U/UD","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","10","4.000","100.0",".",".","",".","",".","",".",".",".  
.",".","",".",".",".",".",".","."
"Junior","","40","4.000","100.0",".",".","",".","",".","",".",".",".  
.",".","",".",".",".",".",".","."
"Senior","","67","4.000","98.5",".",".","",".","",".","",".",".","1.5
.",".","",".",".",".",".",".","."
"Undergraduates","","117","4.000","99.1",".",".","",".","",".","",".",".","0.9
.",".","",".",".",".",".",".","."
"Graduate","","50","3.842","14.0","2.0","2.0","",".","",".","",".",".","66.0
.",".","",".","12.0",".",".","4.0","."
"Prof Yr 1","","9","4.000","88.9",".",".","",".","",".","",".",".","11.1
.",".","",".",".",".",".",".","."
"Prof Yr 2","","7","4.000","14.3",".",".","",".","",".","",".",".","71.4
.",".","",".","14.3",".",".",".","."
"Prof Yr 3","","287","4.000","0.3",".",".","",".","",".","",".",".","99.3
.",".","",".",".","0.3",".",".","."
"Prof Yr 4","","338","3.703","3.3","0.9",".","",".","",".","",".","0.3","95.0
0.3",".","",".",".","0.3",".",".","."
"Professionals","","641","3.792","3.3","0.5",".","",".","",".","",".","0.2","95.5
0.2",".","",".","0.2","0.3",".",".","."
"","Dept. Total","808","3.961","17.8","0.5","0.1","",".","",".","",".","0.1","80.0
0.1",".","",".","0.9","0.2",".","0.2","."
