"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S/SD","U/UD","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"R M I","","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","***","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","31","3.377","25.8","12.9","19.4",".",".","3.2",".","32.3","6.5",".","",".",".","",".",".",".","."
"Junior","102","3.690","47.1","3.9","12.7","1.0",".","1.0",".","28.4","5.9",".","",".",".","",".",".",".","."
"Senior","229","3.709","59.4","10.9","9.6","1.3","0.4","1.7",".","16.2","0.4",".","",".",".","",".",".",".","."
"Undergraduates","365","3.681","52.9","9.0","11.5","1.1","0.3","1.6",".","21.1","2.5",".","",".",".","",".",".",".","."
"Special","7","2.800","14.3","28.6","14.3",".",".",".","14.3","28.6",".",".","",".",".","",".",".",".","."
"Graduate","122","3.832","64.8","23.0","7.4",".",".",".",".","4.1",".",".","",".","0.8","",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","1","***","","","","","","","","","",".","",".",".","",".",".",".","."
