"NUTRITIONAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"","132","001","90","3.161","11.1","16.7","22.2","5.6","6.7",".",".","35.6","1.1",".",".",".",".","1.1",".","."
"","132","002","102","3.274","14.7","17.6","18.6","5.9","3.9",".",".","37.3","2.0",".",".",".",".",".",".","."
"","132","003","331","3.282","16.6","16.9","15.7","5.7","3.9","0.3","0.3","38.1","1.8",".",".",".","0.3","0.3",".","."
"Nutrition Today","","Course Total","523","3.259","15.3","17.0","17.4","5.7","4.4","0.2","0.2","37.5","1.7",".",".",".","0.2","0.4",".","."
"Prof-Dietetics & Nutrition","200","001","25","",".",".",".",".",".",".",".","4.0",".","96.0",".",".",".",".",".","."
"Introduction to Global Health","203","001","95","3.974","95.8","3.2","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Comparative Animal Nutritn","311","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Nutritional Needs","332","001","104","3.488","43.3","8.7","20.2","2.9","4.8","1.0",".","18.3","1.0",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","124","3.758","61.3","25.8","4.8","2.4","0.8",".",".","4.0",".",".",".",".","0.8",".",".","."
"Special Topics","375","004","11","3.850","63.6","27.3",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","421","002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421","004","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health Field Experience","","Course Total","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition in the Life Span","431","001","53","3.411","34.0","20.8","22.6","3.8",".","3.8",".","15.1",".",".",".",".",".",".",".","."
"Undergrad Capstone Seminar Lab","500","001","34","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr Biochm & Mtblsm","510","001","25","3.587","48.0","12.0","32.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Applications-Clin Nutrition","520","001","25","3.688","56.0","20.0","20.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Commun Nutr Prgms & Policy Iss","540","003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Nutritnl Epidemiology","621","002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition II","632","001","23","3.476","34.8","39.1","4.3","4.3","8.7",".",".","8.7",".",".",".",".",".",".",".","."
"Adv Nutr Counseling & Educ","652","001","17","3.618","58.8","23.5","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition Research","653","001","20","3.868","80.0","5.0","10.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Nutr & Dietetics Practicum II","671","001","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Senior Thesis","692","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","084","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micronutr-Human Phys & Disease","715","001","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
