"CONSUMER SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Family Financial Counseling","Course Total","","72","3.711","47.2","45.8","5.6",".",".",".",".","1.4
.",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","",""
"888
Advanced Consumer Behavior","001","","6","3.833","66.7","33.3",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"901
Grad Spec Topics-Consumer Sci","001","","6","3.900","66.7","16.7",".",".",".",".",".","16.7
.",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","024","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","",""
