"","990
262","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
263","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
268","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
299","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","61","",".",".",".",".",".",".",".","95.1",".",".",".","4.9",".",".",".","."
"Seminar","992
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Statistical Consulting","998
001","17","3.938","82.4","11.8",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"STAT
932","Dept. Total","3221","3.603","47.8","14.7","13.1","3.1","2.1","0.6","0.2","16.9","1.3",".",".","0.1","0.1","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S/SD","U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Freshmen","","37","3.158","18.9","21.6","24.3","10.8","2.7","5.4",".","16.2",".",".",".",".",".",".",".","."
"Sophomore","","457","3.456","31.7","17.1","20.4","3.7","1.5","0.7","0.2","23.2","1.5",".",".",".",".",".",".","."
"Junior","","1083","3.605","46.4","14.7","13.9","2.8","2.4","0.4",".","18.1","1.3",".",".",".",".",".",".","."
"Senior","","877","3.497","45.4","12.3","14.0","5.0","3.5","1.3","0.5","15.7","2.1",".",".",".","0.1","0.1",".","."
"Undergraduates","","2454","3.531","42.9","14.4","15.3","3.9","2.6","0.8","0.2","18.2","1.6",".",".",".","0.0","0.0",".","."
"Special","","264","3.883","77.7","14.8","2.7","0.4","0.4",".",".","3.4",".",".",".",".",".","0.4","0.4","."
"Graduate","","501","3.752","55.9","16.6","7.8","0.6","0.2",".",".","17.6","0.4",".",".","0.6","0.2",".","0.2","."
"Prof Yr 2","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","3221","3.603","47.8","14.7","13.1","3.1","2.1","0.6","0.2","16.9","1.3",".",".","0.1","0.1","0.1","0.1","."
